Title,BatmanActor,Director,ReleaseDate,ReleaseYear,BoxOfficeMillions,BatmanSalaryMillions,RuntimeMinutes
Batman: The Movie,Adam West,Leslie H. Martinson,1966-07-30,1966,1.7,,105
Batman,Michael Keaton,Tim Burton,1989-06-23,1989,411.6,5.0,126
Batman Returns,Michael Keaton,Tim Burton,1992-06-19,1992,266.8,10.0,126
Batman Forever,Val Kilmer,Joel Schumacher,1995-06-16,1995,336.6,7.0,121
Batman & Robin,George Clooney,Joel Schumacher,1997-06-20,1997,238.2,10.0,125
Batman Begins,Christian Bale,Christopher Nolan,2005-06-15,2005,373.7,9.0,140
The Dark Knight,Christian Bale,Christopher Nolan,2008-07-18,2008,1006.0,10.0,152
The Dark Knight Rises,Christian Bale,Christopher Nolan,2012-07-20,2012,1081.0,15.0,164
Batman v Superman: Dawn of Justice,Ben Affleck,Zack Snyder,2016-03-25,2016,873.6,10.0,151
Justice League,Ben Affleck,Zack Snyder,2017-11-17,2017,657.9,12.5,120
The Batman,Robert Pattinson,Matt Reeves,2022-03-04,2022,770.8,3.0,176
The Flash,Ben Affleck,Andy Muschietti,2023-06-16,2023,271.3,8.0,144
