employee_id,department_id,role,current_salary,last_update
E0001,D001,Especialista,88089.15,2025-11-01
E0002,D001,Analista,79163.28,2024-12-30
E0003,D001,Senior,101993.9,2025-05-16
E0004,D001,Senior,95164.35,2025-05-14
E0005,D001,Especialista,87467.27,2025-04-26
E0007,D001,Asistente,62580.22,2025-07-04
E0009,D001,Gerente,148371.39,2025-09-05
E0010,D001,Asistente,54499.79,2025-02-02
E0011,D001,Asistente,60173.39,2025-01-01
E0012,D001,Senior,109837.47,2025-01-19
E0013,D001,Asistente,56764.31,2024-11-09
E0014,D001,Asistente,65391.31,2025-02-02
E0015,D001,Analista,70933.96,2025-03-30
E0016,D001,Supervisor,128582.57,2025-07-20
E0018,D001,Director,214840.7,2025-06-02
E0019,D002,Asistente,33861.41,2025-06-14
E0022,D002,Senior,59044.95,2025-01-03
E0023,D002,Asistente,32681.86,2025-01-31
E0024,D002,Analista,43423.88,2025-06-23
E0025,D002,Especialista,50347.38,2025-01-22
E0026,D002,Asistente,33125.79,2024-11-17
E0027,D002,Analista,39656.79,2025-05-03
E0028,D002,Senior,55099.34,2025-07-03
E0029,D002,Supervisor,63821.95,2025-04-13
E0030,D002,Analista,42919.65,2025-07-17
E0033,D002,Especialista,49924.93,2024-12-09
E0034,D002,Supervisor,65858.02,2024-12-18
E0035,D002,Analista,42400.23,2024-11-30
E0036,D002,Senior,55505.71,2025-04-19
E0037,D003,Director,92239.76,2025-11-04
E0038,D003,Analista,31996.15,2025-02-12
E0039,D003,Asistente,29478.94,2024-12-11
E0041,D003,Asistente,32549.89,2025-09-20
E0042,D003,Supervisor,58538.97,2025-01-31
E0043,D003,Supervisor,50306.47,2025-06-22
E0044,D003,Especialista,42503.5,2025-06-09
E0045,D003,Asistente,29035.38,2024-11-09
E0047,D003,Analista,32941.88,2025-03-09
E0048,D003,Especialista,36553.43,2025-04-10
E0049,D003,Asistente,26467.46,2025-08-22
E0050,D003,Senior,43840.8,2025-07-15
E0051,D003,Analista,33881.53,2025-06-30
E0052,D003,Analista,30844.92,2024-12-18
E0053,D003,Senior,45769.3,2025-09-10
E0054,D003,Especialista,35780.72,2025-05-30
E0056,D004,Asistente,27300.43,2025-08-06
E0058,D004,Analista,37787.44,2025-01-20
E0059,D004,Analista,36567.5,2025-09-20
E0060,D004,Supervisor,59007.29,2025-03-06
E0062,D004,Supervisor,56348.6,2025-09-13
E0063,D004,Analista,35204.85,2024-12-31
E0064,D004,Senior,50080.69,2025-07-22
E0065,D004,Asistente,29375.23,2025-01-04
E0066,D004,Director,108179.08,2025-03-29
E0067,D004,Asistente,31730.35,2025-05-06
E0068,D004,Asistente,32107.04,2025-08-08
E0069,D004,Especialista,39424.36,2024-12-18
E0070,D004,Especialista,40695.46,2025-08-20
E0071,D004,Senior,59096.79,2025-10-08
E0072,D004,Senior,47300.73,2024-12-26
E0073,D005,Supervisor,58106.14,2025-10-08
E0075,D005,Analista,33932.89,2025-09-04
E0076,D005,Senior,41812.19,2025-09-27
E0077,D005,Especialista,34907.69,2025-07-10
E0078,D005,Asistente,29176.35,2024-11-19
E0079,D005,Senior,52392.05,2025-01-03
E0080,D005,Asistente,26846.46,2024-12-08
E0081,D005,Especialista,37842.06,2025-01-12
E0082,D005,Analista,33280.98,2025-07-13
E0083,D005,Asistente,23751.59,2025-01-05
E0085,D005,Supervisor,49126.19,2025-05-12
E0086,D005,Analista,31515.06,2025-02-03
E0087,D005,Senior,44259.35,2025-03-10
E0088,D005,Analista,32413.61,2025-01-29
E0089,D005,Asistente,28813.35,2024-11-15
E0090,D005,Especialista,36679.2,2025-06-02
E0091,D006,Analista,38027.2,2025-08-17
E0092,D006,Especialista,43943.26,2025-06-22
E0093,D006,Asistente,42558.19,2025-05-27
E0094,D006,Especialista,44530.29,2025-03-15
E0095,D006,Asistente,32890.29,2025-04-13
E0097,D006,Senior,49131.1,2025-03-27
E0098,D006,Director,125402.87,2025-08-06
E0099,D006,Asistente,34235.6,2025-10-15
E0100,D006,Asistente,31579.43,2025-01-03
E0101,D006,Asistente,33403.44,2025-06-22
E0102,D006,Senior,54367.61,2025-04-25
E0103,D006,Analista,38795.18,2025-08-31
E0104,D006,Gerente,83365.41,2025-04-07
E0105,D006,Supervisor,64913.82,2025-07-04
E0106,D006,Analista,38629.15,2025-05-02
E0109,D007,Analista,34528.52,2025-04-28
E0110,D007,Analista,34076.87,2025-08-06
E0111,D007,Especialista,43037.2,2025-04-17
E0112,D007,Supervisor,61060.4,2024-12-24
E0113,D007,Senior,47643.14,2024-12-17
E0114,D007,Asistente,26482.02,2025-06-30
E0115,D007,Director,102469.35,2024-11-13
E0116,D007,Analista,34468.63,2025-05-16
E0117,D007,Asistente,26348.2,2025-05-31
E0118,D007,Asistente,27925.38,2025-06-05
E0120,D007,Especialista,41255.1,2024-11-26
E0123,D007,Senior,44944.59,2025-06-30
E0124,D007,Asistente,28263.86,2025-10-14
E0125,D007,Especialista,38740.83,2025-02-27
E0127,D008,Analista,29888.48,2025-10-03
E0128,D008,Supervisor,43284.61,2025-06-13
E0129,D008,Analista,29790.99,2025-10-24
E0131,D008,Senior,35848.44,2025-03-23
E0132,D008,Analista,27713.79,2025-07-08
E0133,D008,Especialista,32859.58,2025-03-15
E0134,D008,Director,84012.62,2024-12-01
E0135,D008,Especialista,32317.06,2025-07-26
E0136,D008,Asistente,20318.87,2025-10-03
E0137,D008,Supervisor,47982.39,2025-07-17
E0139,D008,Asistente,26080.48,2025-06-25
E0140,D008,Asistente,20895.36,2025-03-30
E0142,D008,Analista,29475.02,2025-09-30
E0144,D008,Senior,36624.15,2025-09-14
E0146,D008,Supervisor,42167.4,2025-04-20
E0147,D008,Asistente,24903.95,2024-12-27
E0148,D008,Senior,37781.07,2025-03-06
E0149,D008,Asistente,22002.21,2024-12-29
