job_history_id,employee_id,department_id,role,start_date,end_date
JH0001,E0001,D001,Asistente,2020-07-13,2022-02-14
JH0002,E0001,D001,Analista,2022-02-14,2023-11-02
JH0003,E0001,D001,Especialista,2023-11-02,
JH0004,E0002,D001,Analista,2021-12-31,
JH0005,E0003,D001,Analista,2021-05-07,2022-08-31
JH0006,E0003,D001,Especialista,2022-08-31,2024-05-16
JH0007,E0003,D001,Senior,2024-05-16,
JH0008,E0004,D001,Senior,2025-05-14,
JH0009,E0005,D001,Especialista,2022-04-27,
JH0010,E0006,D001,Asistente,2025-09-08,2025-07-04
JH0011,E0007,D001,Asistente,2022-07-05,
JH0012,E0008,D001,Senior,2021-05-21,2023-04-14
JH0013,E0008,D001,Supervisor,2023-04-14,2025-08-16
JH0014,E0009,D001,Supervisor,2023-09-11,2024-09-05
JH0015,E0009,D001,Gerente,2024-09-05,
JH0016,E0010,D001,Asistente,2024-02-03,
JH0017,E0011,D001,Asistente,2022-01-15,2024-01-02
JH0018,E0011,D001,Asistente,2024-01-02,
JH0019,E0012,D001,Especialista,2021-01-12,2022-06-10
JH0020,E0012,D001,Senior,2022-06-10,2024-01-20
JH0021,E0012,D001,Senior,2024-01-20,
JH0022,E0013,D001,Asistente,2022-11-10,
JH0023,E0014,D001,Asistente,2020-05-09,2022-03-10
JH0024,E0014,D001,Asistente,2022-03-10,2024-02-03
JH0025,E0014,D001,Asistente,2024-02-03,
JH0026,E0015,D001,Asistente,2022-04-07,2024-03-30
JH0027,E0015,D001,Analista,2024-03-30,
JH0028,E0016,D001,Supervisor,2022-07-21,
JH0029,E0017,D001,Asistente,2020-02-03,2021-12-09
JH0030,E0017,D001,Asistente,2021-12-09,2023-09-18
JH0031,E0017,D001,Analista,2023-09-18,2025-08-23
JH0032,E0018,D001,Supervisor,2021-08-27,2022-10-10
JH0033,E0018,D001,Gerente,2022-10-10,2024-06-02
JH0034,E0018,D001,Director,2024-06-02,
JH0035,E0019,D002,Asistente,2022-09-23,2024-06-14
JH0036,E0019,D002,Asistente,2024-06-14,
JH0037,E0020,D002,Asistente,2020-08-30,2023-03-03
JH0038,E0020,D002,Asistente,2023-03-03,2025-02-17
JH0039,E0021,D002,Especialista,2023-05-12,2025-05-23
JH0040,E0022,D002,Senior,2022-01-04,
JH0041,E0023,D002,Asistente,2024-02-01,
JH0042,E0024,D002,Analista,2023-06-24,
JH0043,E0025,D002,Especialista,2021-10-31,2024-01-23
JH0044,E0025,D002,Especialista,2024-01-23,
JH0045,E0026,D002,Asistente,2023-11-18,
JH0046,E0027,D002,Analista,2024-05-03,
JH0047,E0028,D002,Senior,2025-07-03,
JH0048,E0029,D002,Senior,2023-03-18,2024-04-13
JH0049,E0029,D002,Supervisor,2024-04-13,
JH0050,E0030,D002,Analista,2023-07-04,2024-07-17
JH0051,E0030,D002,Analista,2024-07-17,
JH0052,E0031,D002,Asistente,2024-12-20,2025-03-04
JH0053,E0032,D002,Gerente,2022-01-04,2023-08-26
JH0054,E0032,D002,Director,2023-08-26,2024-11-19
JH0055,E0033,D002,Analista,2020-11-19,2022-12-10
JH0056,E0033,D002,Especialista,2022-12-10,
JH0057,E0034,D002,Supervisor,2024-12-18,
JH0058,E0035,D002,Asistente,2021-10-23,2023-12-01
JH0059,E0035,D002,Analista,2023-12-01,
JH0060,E0036,D002,Especialista,2020-10-04,2023-04-20
JH0061,E0036,D002,Senior,2023-04-20,
JH0062,E0037,D003,Gerente,2021-03-07,2023-11-05
JH0063,E0037,D003,Director,2023-11-05,
JH0064,E0038,D003,Analista,2025-02-12,
JH0065,E0039,D003,Asistente,2021-08-27,2023-12-12
JH0066,E0039,D003,Asistente,2023-12-12,
JH0067,E0040,D003,Asistente,2023-01-01,2025-06-06
JH0068,E0041,D003,Asistente,2020-08-15,2022-09-14
JH0069,E0041,D003,Asistente,2022-09-14,2024-09-20
JH0070,E0041,D003,Asistente,2024-09-20,
JH0071,E0042,D003,Senior,2020-04-30,2021-11-24
JH0072,E0042,D003,Supervisor,2021-11-24,2024-02-01
JH0073,E0042,D003,Supervisor,2024-02-01,
JH0074,E0043,D003,Senior,2022-12-02,2024-06-22
JH0075,E0043,D003,Supervisor,2024-06-22,
JH0076,E0044,D003,Especialista,2023-05-03,2024-06-09
JH0077,E0044,D003,Especialista,2024-06-09,
JH0078,E0045,D003,Asistente,2023-09-02,2024-11-09
JH0079,E0045,D003,Asistente,2024-11-09,
JH0080,E0046,D003,Especialista,2021-09-15,2023-06-10
JH0081,E0046,D003,Senior,2023-06-10,2025-10-08
JH0082,E0047,D003,Asistente,2022-09-24,2024-03-09
JH0083,E0047,D003,Analista,2024-03-09,
JH0084,E0048,D003,Especialista,2024-04-10,
JH0085,E0049,D003,Asistente,2024-08-22,
JH0086,E0050,D003,Senior,2022-07-16,
JH0087,E0051,D003,Analista,2024-06-30,
JH0088,E0052,D003,Analista,2024-12-18,
JH0089,E0053,D003,Especialista,2023-08-26,2024-09-10
JH0090,E0053,D003,Senior,2024-09-10,
JH0091,E0054,D003,Especialista,2022-05-31,
JH0092,E0055,D004,Analista,2025-02-02,2025-09-14
JH0093,E0056,D004,Asistente,2025-08-06,
JH0094,E0057,D004,Analista,2023-02-18,2024-08-13
JH0095,E0057,D004,Especialista,2024-08-13,2024-12-03
JH0096,E0058,D004,Analista,2023-01-21,
JH0097,E0059,D004,Analista,2025-09-20,
JH0098,E0060,D004,Supervisor,2023-03-07,
JH0099,E0061,D004,Asistente,2024-02-13,2025-02-18
JH0100,E0062,D004,Supervisor,2024-09-13,
JH0101,E0063,D004,Analista,2024-01-01,
JH0102,E0064,D004,Especialista,2021-05-22,2023-07-23
JH0103,E0064,D004,Senior,2023-07-23,
JH0104,E0065,D004,Asistente,2023-01-05,
JH0105,E0066,D004,Director,2024-03-29,
JH0106,E0067,D004,Asistente,2022-05-07,
JH0107,E0068,D004,Asistente,2020-09-19,2023-08-09
JH0108,E0068,D004,Asistente,2023-08-09,
JH0109,E0069,D004,Especialista,2023-12-19,
JH0110,E0070,D004,Analista,2023-09-13,2024-08-20
JH0111,E0070,D004,Especialista,2024-08-20,
JH0112,E0071,D004,Especialista,2020-06-06,2022-01-22
JH0113,E0071,D004,Senior,2022-01-22,2023-10-09
JH0114,E0071,D004,Senior,2023-10-09,
JH0115,E0072,D004,Especialista,2021-05-30,2023-12-27
JH0116,E0072,D004,Senior,2023-12-27,
JH0117,E0073,D005,Senior,2020-12-13,2022-05-02
JH0118,E0073,D005,Supervisor,2022-05-02,2023-10-09
JH0119,E0073,D005,Supervisor,2023-10-09,
JH0120,E0074,D005,Asistente,2020-12-04,2022-06-29
JH0121,E0074,D005,Asistente,2022-06-29,2024-06-06
JH0122,E0074,D005,Asistente,2024-06-06,2025-04-20
JH0123,E0075,D005,Analista,2024-09-04,
JH0124,E0076,D005,Especialista,2021-07-13,2023-09-28
JH0125,E0076,D005,Senior,2023-09-28,
JH0126,E0077,D005,Especialista,2024-07-10,
JH0127,E0078,D005,Asistente,2021-01-20,2023-11-20
JH0128,E0078,D005,Asistente,2023-11-20,
JH0129,E0079,D005,Senior,2020-05-24,2023-01-04
JH0130,E0079,D005,Senior,2023-01-04,
JH0131,E0080,D005,Asistente,2022-06-02,2023-12-09
JH0132,E0080,D005,Asistente,2023-12-09,
JH0133,E0081,D005,Especialista,2022-01-13,
JH0134,E0082,D005,Analista,2024-07-13,
JH0135,E0083,D005,Asistente,2025-01-05,
JH0136,E0084,D005,Director,2024-09-17,2025-08-21
JH0137,E0085,D005,Supervisor,2024-05-12,
JH0138,E0086,D005,Asistente,2020-11-23,2023-02-04
JH0139,E0086,D005,Analista,2023-02-04,
JH0140,E0087,D005,Senior,2024-03-10,
JH0141,E0088,D005,Analista,2025-01-29,
JH0142,E0089,D005,Asistente,2021-06-12,2023-02-19
JH0143,E0089,D005,Asistente,2023-02-19,2024-11-15
JH0144,E0089,D005,Asistente,2024-11-15,
JH0145,E0090,D005,Especialista,2025-06-02,
JH0146,E0091,D006,Analista,2025-08-17,
JH0147,E0092,D006,Analista,2021-05-15,2023-06-23
JH0148,E0092,D006,Especialista,2023-06-23,
JH0149,E0093,D006,Asistente,2020-04-08,2022-05-08
JH0150,E0093,D006,Asistente,2022-05-08,2024-05-27
JH0151,E0093,D006,Asistente,2024-05-27,
JH0152,E0094,D006,Analista,2022-07-16,2024-03-15
JH0153,E0094,D006,Especialista,2024-03-15,
JH0154,E0095,D006,Asistente,2022-07-10,2024-04-13
JH0155,E0095,D006,Asistente,2024-04-13,
JH0156,E0096,D006,Senior,2023-03-24,2025-05-31
JH0157,E0097,D006,Especialista,2023-01-22,2024-03-27
JH0158,E0097,D006,Senior,2024-03-27,
JH0159,E0098,D006,Director,2020-10-11,2023-08-07
JH0160,E0098,D006,Director,2023-08-07,
JH0161,E0099,D006,Asistente,2023-07-10,2024-10-15
JH0162,E0099,D006,Asistente,2024-10-15,
JH0163,E0100,D006,Asistente,2024-01-04,
JH0164,E0101,D006,Asistente,2021-08-20,2023-06-23
JH0165,E0101,D006,Asistente,2023-06-23,
JH0166,E0102,D006,Especialista,2023-03-03,2024-04-25
JH0167,E0102,D006,Senior,2024-04-25,
JH0168,E0103,D006,Analista,2024-08-31,
JH0169,E0104,D006,Supervisor,2020-12-21,2023-04-08
JH0170,E0104,D006,Gerente,2023-04-08,
JH0171,E0105,D006,Supervisor,2022-07-05,
