salary_id,employee_id,job_history_id,salary_amount,effective_date
S0001,E0001,JH0001,53310.38,2020-07-13
S0002,E0001,JH0001,54170.87,2021-07-13
S0003,E0001,JH0002,70220.52,2022-02-14
S0004,E0001,JH0002,73357.17,2023-02-14
S0005,E0001,JH0003,80824.48,2023-11-02
S0006,E0001,JH0003,84623.97,2024-11-01
S0007,E0001,JH0003,88089.15,2025-11-01
S0008,E0002,JH0004,72173.96,2021-12-31
S0009,E0002,JH0004,75368.25,2022-12-31
S0010,E0002,JH0004,76626.8,2023-12-31
S0011,E0002,JH0004,79163.28,2024-12-30
S0012,E0003,JH0005,74639.74,2021-05-07
S0013,E0003,JH0005,77104.83,2022-05-07
S0014,E0003,JH0006,80920.77,2022-08-31
S0015,E0003,JH0006,84964.59,2023-08-31
S0016,E0003,JH0007,99380.97,2024-05-16
S0017,E0003,JH0007,101993.9,2025-05-16
S0018,E0004,JH0008,95164.35,2025-05-14
S0019,E0005,JH0009,82080.12,2022-04-27
S0020,E0005,JH0009,84555.07,2023-04-27
S0021,E0005,JH0009,85764.67,2024-04-26
S0022,E0005,JH0009,87467.27,2025-04-26
S0023,E0007,JH0011,57888.63,2022-07-05
S0024,E0007,JH0011,58633.09,2023-07-05
S0025,E0007,JH0011,61503.36,2024-07-04
S0026,E0007,JH0011,62580.22,2025-07-04
S0027,E0008,JH0012,91819.86,2021-05-21
S0028,E0008,JH0012,94827.0,2022-05-21
S0029,E0008,JH0013,114751.31,2023-04-14
S0030,E0008,JH0013,116172.45,2024-04-13
S0031,E0008,JH0013,119107.15,2025-04-13
S0032,E0009,JH0014,113416.64,2023-09-11
S0033,E0009,JH0015,143027.27,2024-09-05
S0034,E0009,JH0015,148371.39,2025-09-05
S0035,E0010,JH0016,53618.21,2024-02-03
S0036,E0010,JH0016,54499.79,2025-02-02
S0037,E0011,JH0017,55810.0,2022-01-15
S0038,E0011,JH0017,58564.57,2023-01-15
S0039,E0011,JH0018,59340.22,2024-01-02
S0040,E0011,JH0018,60173.39,2025-01-01
S0041,E0012,JH0019,82857.42,2021-01-12
S0042,E0012,JH0019,83874.56,2022-01-12
S0043,E0012,JH0020,100082.39,2022-06-10
S0044,E0012,JH0020,102984.94,2023-06-10
S0045,E0012,JH0021,106914.94,2024-01-20
S0046,E0012,JH0021,109837.47,2025-01-19
S0047,E0013,JH0022,53990.82,2022-11-10
S0048,E0013,JH0022,55481.95,2023-11-10
S0049,E0013,JH0022,56764.31,2024-11-09
S0050,E0014,JH0023,55684.99,2020-05-09
S0051,E0014,JH0023,58250.2,2021-05-09
S0052,E0014,JH0024,59949.59,2022-03-10
S0053,E0014,JH0024,60789.43,2023-03-10
S0054,E0014,JH0025,62710.37,2024-02-03
S0055,E0014,JH0025,65391.31,2025-02-02
S0056,E0015,JH0026,57025.33,2022-04-07
