record_id,employee_id,service_code,department_id,service_date,quantity,notes
SR0001,E0137,S017,D004,2023-09-06,3,
SR0002,E0114,S008,D007,2023-04-26,8,Pendiente de feedback
SR0003,E0091,S021,D008,2025-10-26,5,En progreso
SR0004,E0050,S006,D003,2023-07-10,3,Completado satisfactoriamente
SR0005,E0050,S012,D002,2024-03-14,11,
SR0006,E0133,S011,D002,2024-05-15,2,
SR0007,E0140,S018,D004,2022-12-03,5,
SR0008,E0059,S004,D001,2024-11-30,2,
SR0009,E0093,S003,D001,2025-04-08,3,Completado satisfactoriamente
SR0010,E0113,S006,D001,2025-03-26,1,
SR0011,E0037,S007,D007,2021-02-06,8,
SR0012,E0078,S014,D005,2025-02-21,2,En progreso
SR0013,E0059,S003,D001,2023-08-09,2,Completado satisfactoriamente
SR0014,E0127,S008,D002,2023-02-18,6,En progreso
SR0015,E0118,S017,D008,2025-08-05,3,
SR0016,E0051,S015,D003,2022-01-22,2,Certificado obtenido
SR0017,E0103,S011,D007,2025-06-11,8,
SR0018,E0003,S013,D001,2024-02-24,11,En progreso
SR0019,E0007,S004,D002,2024-10-21,2,
SR0020,E0081,S021,D002,2025-06-15,4,Sesión presencial
SR0021,E0124,S021,D007,2025-01-03,5,En progreso
SR0022,E0039,S007,D001,2023-02-28,10,
SR0023,E0123,S002,D003,2025-04-25,3,
SR0024,E0022,S012,D008,2024-12-08,1,
SR0025,E0044,S005,D003,2025-05-08,1,
SR0026,E0112,S020,D001,2023-05-17,2,
SR0027,E0075,S020,D007,2024-03-30,2,Renovación automática
SR0028,E0123,S002,D004,2023-11-27,2,
SR0029,E0112,S006,D004,2023-10-10,2,Certificado obtenido
SR0030,E0075,S007,D007,2022-01-19,12,Completado satisfactoriamente
SR0031,E0148,S007,D003,2022-07-27,5,
SR0032,E0033,S018,D002,2025-01-31,2,
SR0033,E0128,S014,D002,2025-04-11,2,Sesión presencial
SR0034,E0022,S015,D006,2021-07-15,2,Certificado obtenido
SR0035,E0091,S011,D004,2023-02-17,4,Sesión presencial
SR0036,E0118,S017,D007,2025-02-12,11,
SR0037,E0117,S018,D005,2021-11-17,2,
SR0038,E0148,S015,D005,2024-05-19,3,Renovación automática
SR0039,E0048,S007,D002,2023-06-28,5,
SR0040,E0043,S010,D001,2024-11-09,1,
SR0041,E0056,S009,D008,2021-12-17,8,Completado satisfactoriamente
SR0042,E0058,S004,D005,2023-03-27,3,En progreso
SR0043,E0146,S020,D005,2023-09-13,1,Certificado obtenido
SR0044,E0106,S018,D002,2022-05-15,1,
SR0045,E0005,S009,D008,2024-09-23,1,
SR0046,E0142,S001,D006,2023-03-01,3,
SR0047,E0012,S021,D003,2025-06-27,5,
SR0048,E0060,S018,D002,2024-10-20,3,
SR0049,E0142,S018,D006,2022-09-04,2,Formato online
SR0050,E0085,S002,D005,2025-01-31,2,
SR0051,E0112,S019,D006,2024-04-09,2,
SR0052,E0088,S014,D008,2024-07-06,9,
SR0053,E0093,S021,D002,2025-01-27,4,
SR0054,E0103,S007,D001,2024-06-19,3,
SR0055,E0045,S013,D001,2025-09-12,11,
SR0056,E0148,S018,D003,2025-06-14,5,
SR0057,E0137,S015,D006,2021-08-13,11,
SR0058,E0030,S003,D001,2024-09-13,1,
SR0059,E0058,S004,D006,2024-06-30,3,
SR0060,E0050,S010,D005,2023-03-30,1,
SR0061,E0043,S008,D005,2025-02-02,6,
SR0062,E0048,S001,D006,2023-09-06,2,
SR0063,E0112,S012,D008,2024-11-23,8,
SR0064,E0064,S001,D004,2023-09-04,3,
SR0065,E0090,S003,D002,2023-07-16,3,
SR0066,E0072,S005,D003,2025-04-09,3,
SR0067,E0085,S017,D008,2023-06-26,2,
SR0068,E0019,S021,D001,2024-07-30,1,
SR0069,E0105,S004,D004,2024-09-18,1,Pendiente de feedback
SR0070,E0066,S002,D006,2023-12-23,1,Certificado obtenido
SR0071,E0048,S005,D007,2025-01-18,1,
SR0072,E0105,S018,D006,2022-08-03,2,
SR0073,E0059,S020,D008,2024-05-05,1,
SR0074,E0035,S006,D005,2023-10-18,3,
SR0075,E0041,S008,D006,2024-02-01,6,Pendiente de feedback
SR0076,E0052,S012,D006,2025-04-14,3,
SR0077,E0019,S001,D007,2023-04-13,3,
SR0078,E0067,S016,D005,2022-04-10,11,
SR0079,E0030,S019,D004,2024-07-01,5,
SR0080,E0125,S005,D004,2025-03-13,3,
SR0081,E0016,S013,D007,2023-04-24,2,
SR0082,E0142,S018,D002,2022-10-09,2,
SR0083,E0135,S013,D007,2021-02-07,3,
SR0084,E0023,S009,D005,2022-04-08,3,Certificado obtenido
SR0085,E0078,S007,D008,2023-06-04,11,
SR0086,E0098,S014,D003,2024-04-03,4,
SR0087,E0112,S007,D003,2021-11-11,12,Pendiente de feedback
SR0088,E0075,S018,D007,2022-07-09,5,
SR0089,E0085,S007,D005,2023-11-25,1,
SR0090,E0059,S009,D006,2023-08-11,7,Formato online
SR0091,E0100,S014,D002,2024-12-20,8,
SR0092,E0016,S013,D008,2022-04-15,3,
SR0093,E0028,S014,D002,2025-01-26,5,En progreso
SR0094,E0034,S011,D004,2023-11-25,11,
SR0095,E0098,S004,D007,2023-10-08,1,Formato online
SR0096,E0063,S019,D008,2024-09-28,4,
SR0097,E0104,S002,D005,2025-05-14,2,
SR0098,E0080,S001,D008,2024-05-08,1,
SR0099,E0035,S017,D005,2025-07-27,10,Formato online
SR0100,E0131,S009,D006,2024-11-24,12,Renovación automática
SR0101,E0068,S005,D007,2025-08-30,1,Completado satisfactoriamente
SR0102,E0142,S009,D001,2024-12-28,4,
SR0103,E0052,S010,D007,2025-01-13,9,
SR0104,E0102,S007,D006,2025-06-15,6,
SR0105,E0134,S019,D001,2024-12-17,2,
SR0106,E0003,S010,D005,2025-10-13,4,
SR0107,E0036,S001,D007,2025-08-29,1,
SR0108,E0041,S020,D008,2024-11-03,3,
SR0109,E0136,S018,D005,2024-03-29,1,
SR0110,E0102,S012,D004,2025-10-23,1,Renovación automática
SR0111,E0044,S012,D002,2024-03-12,4,
SR0112,E0047,S011,D001,2024-01-17,7,Pendiente de feedback
SR0113,E0012,S006,D004,2024-03-07,1,Certificado obtenido
SR0114,E0024,S017,D004,2025-07-05,7,
SR0115,E0103,S010,D003,2021-06-14,11,
SR0116,E0112,S004,D001,2024-06-09,3,
SR0117,E0090,S004,D007,2025-03-23,1,
SR0118,E0013,S017,D004,2024-02-09,11,
SR0119,E0064,S007,D008,2020-07-16,6,Certificado obtenido
SR0120,E0027,S008,D006,2025-06-13,4,
SR0121,E0106,S020,D008,2023-10-21,3,
SR0122,E0067,S009,D008,2023-02-04,8,
SR0123,E0082,S013,D003,2025-07-21,1,
SR0124,E0050,S005,D005,2025-06-14,3,
SR0125,E0014,S013,D003,2024-02-18,7,
SR0126,E0129,S009,D001,2022-02-16,2,
SR0127,E0105,S015,D005,2024-07-14,2,
SR0128,E0009,S013,D008,2021-11-24,10,
SR0129,E0113,S002,D007,2023-08-16,1,
SR0130,E0095,S018,D007,2024-10-30,3,
SR0131,E0016,S008,D006,2022-07-08,3,
SR0132,E0002,S015,D002,2024-05-12,12,
SR0133,E0124,S010,D007,2022-11-09,12,
SR0134,E0101,S003,D008,2025-05-02,1,
SR0135,E0087,S014,D007,2024-07-11,6,
SR0136,E0071,S015,D008,2023-01-01,8,
SR0137,E0112,S002,D003,2025-04-28,1,
SR0138,E0051,S001,D007,2023-07-02,1,
SR0139,E0022,S006,D006,2024-03-06,2,
SR0140,E0001,S020,D001,2025-06-17,4,Certificado obtenido
SR0141,E0065,S018,D008,2021-08-05,2,
SR0142,E0072,S018,D002,2025-08-14,1,
SR0143,E0128,S014,D005,2024-02-26,12,
SR0144,E0081,S010,D008,2025-06-30,12,
SR0145,E0149,S005,D004,2024-06-03,3,
SR0146,E0102,S013,D007,2024-08-22,9,Renovación automática
SR0147,E0131,S008,D003,2024-06-23,10,
SR0148,E0060,S003,D001,2023-07-21,3,Sesión presencial
SR0149,E0042,S017,D002,2024-07-24,10,
SR0150,E0049,S009,D004,2022-01-22,8,Formato online
SR0151,E0054,S010,D003,2025-07-13,8,
SR0152,E0065,S015,D002,2024-10-10,8,
SR0153,E0072,S009,D005,2022-08-01,1,
SR0154,E0077,S019,D001,2024-03-01,2,Renovación automática
SR0155,E0041,S014,D004,2024-04-09,12,
SR0156,E0105,S013,D005,2025-09-04,12,
SR0157,E0024,S003,D008,2025-03-25,1,
SR0158,E0002,S002,D003,2023-08-04,1,
SR0159,E0077,S001,D003,2023-05-23,1,Completado satisfactoriamente
SR0160,E0076,S015,D007,2022-10-31,3,Renovación automática
SR0161,E0065,S002,D006,2024-03-03,3,Completado satisfactoriamente
SR0162,E0045,S002,D001,2024-03-18,3,
