primaryTitle;titleType;startYear;runtimeMinutes;genre;director;averageRating;numVotes
The Shawshank Redemption;movie;1994;142;Drama;Frank Darabont;9.3;3105778
The Dark Knight;movie;2008;152;Action;Christopher Nolan;9.1;3080730
The Godfather;movie;1972;175;Crime;Francis Ford Coppola;9.2;2164601
The Lord of the Rings: The Return of the King;movie;2003;201;Adventure;Peter Jackson;9.0;2110658
Inception;movie;2010;148;Action;Christopher Nolan;8.8;2736172
The Lord of the Rings: The Fellowship of the Ring;movie;2001;178;Adventure;Peter Jackson;8.9;2144943
Fight Club;movie;1999;139;Crime;David Fincher;8.8;2520805
Forrest Gump;movie;1994;142;Drama;Robert Zemeckis;8.8;2425013
Pulp Fiction;movie;1994;154;Crime;Quentin Tarantino;8.8;2373494
Schindler's List;movie;1993;195;Biography;Steven Spielberg;9.0;1548471
Interstellar;movie;2014;169;Adventure;Christopher Nolan;8.7;2413156
The Godfather Part II;movie;1974;202;Crime;Francis Ford Coppola;9.0;1454624
The Lord of the Rings: The Two Towers;movie;2002;179;Adventure;Peter Jackson;8.8;1904333
The Matrix;movie;1999;136;Action;Lana Wachowski;8.7;2191266
Se7en;movie;1995;127;Crime;David Fincher;8.6;1955166
12 Angry Men;movie;1957;96;Crime;Sidney Lumet;9.0;950542
Star Wars: Episode V - The Empire Strikes Back;movie;1980;124;Action;Irvin Kershner;8.7;1467628
The Silence of the Lambs;movie;1991;118;Crime;Jonathan Demme;8.6;1666468
Saving Private Ryan;movie;1998;169;Drama;Steven Spielberg;8.6;1596083
Goodfellas;movie;1990;145;Biography;Martin Scorsese;8.7;1352177
Django Unchained;movie;2012;165;Drama;Quentin Tarantino;8.5;1826870
Star Wars: Episode IV - A New Hope;movie;1977;121;Action;George Lucas;8.6;1534192
Gladiator;movie;2000;155;Action;Ridley Scott;8.5;1797075
The Green Mile;movie;1999;189;Crime;Frank Darabont;8.6;1514560
The Dark Knight Rises;movie;2012;164;Action;Christopher Nolan;8.4;1945230
One Flew Over the Cuckoo's Nest;movie;1975;133;Drama;Milos Forman;8.7;1132887
The Prestige;movie;2006;130;Drama;Christopher Nolan;8.5;1543429
The Departed;movie;2006;151;Crime;Martin Scorsese;8.5;1514772
Terminator 2: Judgment Day;movie;1991;137;Action;James Cameron;8.6;1252840
Inglourious Basterds;movie;2009;153;Adventure;Quentin Tarantino;8.4;1722538
The Good, the Bad and the Ugly;movie;1966;178;Adventure;Sergio Leone;8.8;869530
Back to the Future;movie;1985;116;Adventure;Robert Zemeckis;8.5;1405040
Léon: The Professional;movie;1994;110;Action;Luc Besson;8.5;1321757
American History X;movie;1998;119;Crime;Tony Kaye;8.5;1247166
The Lion King;movie;1994;88;Adventure;Roger Allers;8.5;1224939
The Usual Suspects;movie;1995;106;Crime;Bryan Singer;8.5;1208848
Memento;movie;2000;113;Drama;Christopher Nolan;8.4;1401293
Avengers: Endgame;movie;2019;181;Action;Anthony Russo;8.4;1392054
Joker;movie;2019;122;Crime;Todd Phillips;8.3;1644032
Avengers: Infinity War;movie;2018;149;Action;Anthony Russo;8.4;1322530
Parasite;movie;2019;132;Drama;Bong Joon Ho;8.5;1104260
Whiplash;movie;2014;106;Drama;Damien Chazelle;8.5;1103142
Spirited Away;movie;2001;124;Adventure;Hayao Miyazaki;8.6;933000
WALL·E;movie;2008;98;Adventure;Andrew Stanton;8.4;1283536
The Wolf of Wall Street;movie;2013;180;Biography;Martin Scorsese;8.2;1724939
Alien;movie;1979;117;Horror;Ridley Scott;8.5;1036027
Batman Begins;movie;2005;140;Action;Christopher Nolan;8.2;1673916
The Shining;movie;1980;146;Drama;Stanley Kubrick;8.4;1187551
City of God;movie;2002;130;Crime;Fernando Meirelles;8.6;850552
The Intouchables;movie;2011;112;Comedy;Olivier Nakache;8.5;996262
The Pianist;movie;2002;150;Biography;Roman Polanski;8.5;985597
Shutter Island;movie;2010;138;Drama;Martin Scorsese;8.2;1585046
Life Is Beautiful;movie;1997;116;Comedy;Roberto Benigni;8.6;791418
Raiders of the Lost Ark;movie;1981;115;Action;Steven Spielberg;8.4;1088887
American Beauty;movie;1999;122;Drama;Sam Mendes;8.3;1261973
Up;movie;2009;96;Adventure;Pete Docter;8.3;1203585
Star Wars: Episode VI - Return of the Jedi;movie;1983;131;Action;Richard Marquand;8.3;1183131
Good Will Hunting;movie;1997;126;Drama;Gus Van Sant;8.3;1166507
Eternal Sunshine of the Spotless Mind;movie;2004;108;Drama;Michel Gondry;8.3;1154989
Reservoir Dogs;movie;1992;99;Crime;Quentin Tarantino;8.3;1148012
Toy Story;movie;1995;81;Adventure;John Lasseter;8.3;1142983
Braveheart;movie;1995;178;Biography;Mel Gibson;8.3;1142110
The Truman Show;movie;1998;103;Comedy;Peter Weir;8.2;1319393
Kill Bill: Vol. 1;movie;2003;111;Action;Quentin Tarantino;8.2;1270212
Psycho;movie;1960;109;Drama;Alfred Hitchcock;8.5;764744
Finding Nemo;movie;2003;100;Adventure;Andrew Stanton;8.2;1178637
Scarface;movie;1983;170;Crime;Brian De Palma;8.3;987169
No Country for Old Men;movie;2007;122;Crime;Ethan Coen;8.2;1150471
Jurassic Park;movie;1993;127;Action;Steven Spielberg;8.2;1146545
Aliens;movie;1986;137;Action;James Cameron;8.4;821891
Requiem for a Dream;movie;2000;102;Drama;Darren Aronofsky;8.3;952867
Toy Story 3;movie;2010;103;Adventure;Lee Unkrich;8.3;946838
Oppenheimer;movie;2023;180;Biography;Christopher Nolan;8.3;943996
The Sixth Sense;movie;1999;107;Drama;M. Night Shyamalan;8.2;1116387
Dune: Part Two;movie;2024;166;Action;Denis Villeneuve;8.5;670363
Pirates of the Caribbean: The Curse of the Black Pearl;movie;2003;143;Action;Gore Verbinski;8.1;1289373
The Avengers;movie;2012;143;Action;Joss Whedon;8.0;1529007
