Fecha,Apertura,Cierre,Maximo,Minimo,Volumen
2015-11-02,100.25,99.99,100.3,99.94,602074
2015-11-03,100.13,102.2,103.26,99.22,987134
2015-11-04,101.96,101.07,102.45,100.73,1541852
2015-11-05,100.85,99.43,102.17,99.09,1450774
2015-11-06,99.16,99.47,99.48,98.93,2009349
2015-11-09,99.17,101.15,102.49,98.8,1491661
2015-11-10,101.57,99.22,103.22,98.66,2407141
2015-11-11,99.33,101.22,101.45,99.27,1176272
2015-11-12,100.47,99.18,100.84,98.46,802478
2015-11-13,99.47,101.41,101.65,98.32,805311
2015-11-16,101.58,103.76,104.16,101.16,1936298
2015-11-17,104.19,105.03,105.44,103.76,1449707
2015-11-18,105.01,108.54,108.64,104.58,730782
2015-11-19,107.77,110.27,111.44,105.85,2013699
2015-11-20,109.83,109.01,110.71,107.8,1832214
2015-11-23,109.76,110.45,110.52,109.61,1212338
2015-11-24,110.61,111.52,111.99,110.36,735268
2015-11-25,111.77,111.75,111.79,111.73,1961925
2015-11-26,110.67,110.98,111.08,110.59,593023
2015-11-27,111.24,111.05,111.31,110.91,878175
2015-11-30,111.68,113.76,114.98,109.59,1720528
2015-12-01,113.26,113.86,113.97,113.24,1459729
2015-12-02,112.98,113.58,113.89,112.8,2005830
2015-12-03,113.35,111.81,115.91,111.06,1693125
2015-12-04,111.94,115.34,115.61,109.3,2412790
2015-12-07,114.51,117.74,122.34,109.95,2140795
2015-12-08,117.34,118.41,119.62,117.32,712158
2015-12-09,118.52,116.19,119.29,113.74,1023929
2015-12-10,116.86,115.51,118.44,114.15,714548
2015-12-11,114.72,113.53,115.64,111.43,1597586
2015-12-14,113.53,117.42,118.36,110.05,1236449
2015-12-15,117.44,117.74,118.29,116.92,1082256
2015-12-16,118.02,118.49,118.74,117.7,1847715
2015-12-17,117.95,117.4,118.67,116.8,675857
2015-12-18,117.43,115.42,119.69,113.15,1217111
2015-12-21,115.94,115.22,117.12,114.56,1329813
2015-12-22,115.55,118.87,123.88,113.65,1368972
2015-12-23,118.97,117.67,119.82,117.22,1538073
2015-12-24,117.39,120.69,123.95,116.48,1837139
2015-12-25,122.13,127.42,135.62,117.79,1410772
2015-12-28,127.0,130.0,130.04,125.21,2168295
2015-12-29,129.5,134.67,135.62,127.41,2199574
2015-12-30,133.82,137.19,140.19,130.5,1413927
2015-12-31,136.69,134.14,136.84,134.08,665651
2016-01-01,134.44,137.47,138.44,133.51,931384
2016-01-04,136.1,133.55,136.27,132.15,1709139
