product_id,effective_date,price
249220,2021-02-08,0.85
249220,2022-06-13,0.93
249220,2023-11-18,0.95
249220,2024-08-10,0.97
249220,2025-04-12,1.0
249256,2021-07-16,0.86
249256,2022-08-07,0.94
249256,2023-03-04,0.99
249256,2025-11-03,1.0
249492,2021-11-08,0.87
249492,2022-10-25,0.97
249492,2024-09-19,1.0
249507,2021-07-04,0.84
249507,2022-03-29,0.93
249507,2023-08-16,0.98
249507,2024-05-18,1.0
249587,2021-07-23,0.94
249587,2023-01-12,0.97
249587,2025-05-08,1.0
249701,2021-01-26,0.93
249701,2024-01-04,0.98
249701,2025-01-07,1.0
249752,2021-06-24,0.89
249752,2022-09-04,0.98
249752,2025-03-29,1.0
249780,2021-01-15,0.87
249780,2022-01-27,0.94
249780,2024-03-10,0.98
249780,2025-11-02,1.0
249796,2021-06-19,0.86
249796,2022-04-21,0.92
249796,2023-08-10,0.96
249796,2024-06-12,1.0
249841,2021-11-21,0.82
249841,2022-01-27,0.88
249841,2023-04-07,0.93
249841,2024-04-18,0.96
249841,2025-06-09,1.0
250033,2021-07-12,0.92
250033,2023-09-05,0.96
250033,2025-06-21,1.0
250058,2021-06-21,0.93
250058,2023-09-14,0.97
250058,2025-03-01,1.0
250096,2021-08-13,0.82
250096,2022-04-10,0.9
250096,2023-05-15,0.93
250096,2024-10-10,0.96
250096,2025-03-16,1.0
250193,2021-09-10,0.96
250193,2023-04-05,0.99
250193,2025-05-12,1.0
250275,2021-12-21,0.92
250275,2023-12-15,0.96
250275,2025-11-18,1.0
250308,2021-03-09,0.99
250308,2025-09-30,1.0
250376,2021-11-11,0.87
250376,2022-01-21,0.96
250376,2024-10-03,0.98
250376,2025-10-10,1.0
250533,2021-12-28,0.84
250533,2022-04-05,0.9
250533,2023-01-18,0.93
250533,2024-06-22,0.98
250533,2025-09-18,1.0
250561,2021-06-03,0.89
250561,2022-02-01,0.96
250561,2025-04-11,1.0
250628,2021-04-17,0.93
250628,2023-05-19,0.98
250628,2024-01-17,1.0
250677,2021-08-17,0.91
250677,2023-08-24,0.96
250677,2025-05-28,1.0
250683,2021-04-11,0.84
250683,2022-07-27,0.9
250683,2023-01-13,0.93
250683,2024-11-13,0.97
250683,2025-08-19,1.0
250875,2021-08-29,0.95
250875,2023-06-16,0.96
250875,2024-10-28,1.0
250938,2021-05-29,0.79
250938,2022-05-11,0.88
250938,2023-03-25,0.9
250938,2024-12-31,0.95
250938,2025-08-13,1.0
251125,2021-04-07,0.84
251125,2022-11-08,0.92
251125,2023-02-14,0.95
251125,2024-09-22,0.99
251125,2025-09-14,1.0
251227,2021-09-05,0.81
251227,2022-02-07,0.89
251227,2023-04-04,0.94
251227,2024-10-01,0.95
251227,2025-02-17,1.0
251230,2021-04-01,0.86
251230,2022-11-03,0.95
251230,2023-01-31,0.99
251230,2025-12-07,1.0
251246,2021-09-07,0.87
251246,2022-07-19,0.94
251246,2024-03-10,0.97
251246,2025-01-14,1.0
251356,2021-02-27,0.96
251356,2024-11-27,1.0
251422,2021-01-26,0.82
251422,2022-11-29,0.89
251422,2023-07-06,0.91
251422,2024-08-26,0.96
251422,2025-12-09,1.0
251512,2021-05-13,0.92
251512,2024-11-28,0.97
251512,2025-06-11,1.0
251572,2021-08-03,0.84
251572,2022-01-21,0.91
251572,2023-03-30,0.94
251572,2024-02-21,0.99
251572,2025-07-10,1.0
251575,2021-09-28,0.87
251575,2022-02-04,0.95
251575,2025-11-04,1.0
251596,2021-06-29,0.9
251596,2022-08-11,0.96
251596,2024-04-19,0.99
251596,2025-09-18,1.0
251658,2021-03-13,0.83
251658,2022-10-03,0.92
251658,2023-08-11,0.95
251658,2025-07-02,1.0
251700,2021-09-18,0.89
251700,2022-01-27,0.97
251700,2024-08-14,1.0
251702,2021-04-01,0.8
251702,2022-02-15,0.88
251702,2023-11-09,0.9
251702,2024-06-27,0.95
251702,2025-08-19,1.0
251706,2021-09-18,0.83
251706,2022-02-05,0.92
251706,2023-12-02,0.94
251706,2024-04-04,0.95
251706,2025-02-18,1.0
251800,2021-01-01,0.9
251800,2022-11-13,0.99
251800,2025-01-24,1.0
251866,2021-03-09,0.82
251866,2022-04-10,0.89
251866,2023-01-06,0.94
251866,2024-06-24,0.96
251866,2025-05-13,1.0
251868,2021-02-13,0.94
251868,2023-03-23,0.96
251868,2025-01-18,1.0
251870,2021-09-25,0.85
251870,2022-09-07,0.91
251870,2023-08-03,0.95
251870,2024-04-29,1.0
251908,2021-10-03,0.84
251908,2022-10-25,0.93
251908,2023-11-12,0.98
251908,2024-11-09,1.0
251923,2021-02-09,0.83
251923,2022-08-19,0.92
251923,2023-09-21,0.97
251923,2024-01-05,0.99
251923,2025-10-23,1.0
251980,2021-09-20,0.95
251980,2024-10-31,0.99
251980,2025-02-04,1.0
252093,2021-03-08,0.85
252093,2022-05-02,0.92
252093,2023-05-23,0.96
252093,2025-09-06,1.0
252208,2021-05-18,0.97
252208,2024-07-15,0.98
252208,2025-07-25,1.0
252413,2021-07-13,0.8
252413,2022-02-16,0.86
252413,2023-01-26,0.91
252413,2024-10-13,0.95
252413,2025-06-30,1.0
252445,2021-03-29,0.93
252445,2023-02-28,0.97
252445,2024-06-28,1.0
252480,2021-11-26,0.92
252480,2023-06-18,0.96
252480,2024-12-03,1.0
252616,2021-07-12,0.95
252616,2024-02-10,0.97
252616,2025-06-30,1.0
252627,2021-05-12,0.83
252627,2022-02-26,0.89
252627,2023-05-02,0.93
252627,2024-01-29,0.96
252627,2025-01-31,1.0
252752,2021-08-09,0.94
252752,2023-07-18,0.98
252752,2024-01-13,0.99
252752,2025-07-10,1.0
252791,2021-09-23,0.79
252791,2022-12-05,0.87
