id,department,category,brand,name,insert_date
249220,Carnicería,Aves y pollo,,Solomillo de pavo,2020-07-21 16:06:00
249256,Carnicería,Aves y pollo,,Fajitas pollo y verduras,2020-07-21 16:06:00
249492,Charcutería y Quesos,Jamon serrano,,Jamón bellota ibérico cortado a cuchillo,2020-07-21 16:06:00
249507,Charcutería y Quesos,Jamon serrano,,Jamón serrano,2020-07-21 16:06:00
249587,Charcutería y Quesos,Bacon y salchichas,,Salchichas cocidas pollo y pavo con queso,2020-07-21 16:06:00
249701,Charcutería y Quesos,Queso lonchas rallado y en porciones,,Queso tierno de vaca lonchas,2020-07-21 16:06:00
249752,Charcutería y Quesos,Pate y sobrasada,,Paté de cerdo y pollo con trufa y arándanos,2020-07-21 16:06:00
249780,Panadería y Pastelería,Pan de horno,,Pan integral 100%,2020-07-21 16:06:00
249796,Panadería y Pastelería,Pan de horno,,Panecillo 30% integral de trigo,2020-07-21 16:06:00
249841,Panadería y Pastelería,Pan de molde y otras especialidades,,Pan integral de centeno,2020-07-21 16:06:00
250033,Panadería y Pastelería,Tartas y pasteles,,Tarta de tiramisú congelada,2020-07-21 16:06:00
250058,Panadería y Pastelería,Tartas y pasteles,,Lionesas de nata y trufa congeladas,2020-07-21 16:06:00
250096,Panadería y Pastelería,Harina y preparado reposteria,,Preparado en polvo gelatina fresa,2020-07-21 16:06:00
250193,Lácteos y Huevos,Leche y bebidas vegetales,,Leche entera,2020-07-21 16:06:00
250275,Lácteos y Huevos,Leche y bebidas vegetales,,Preparado lácteo crecimiento Junior,2020-07-21 16:06:00
250308,Lácteos y Huevos,Mantequilla y margarina,,Nata ligera para cocinar,2020-07-21 16:06:00
250376,Desayuno y Dulces,Cereales,,Barritas de cereales muesli frutos secos,2020-07-21 16:06:00
250533,Bebidas Calientes,Cafe molido y en grano,,Café molido mezcla Espresso,2020-07-21 16:06:00
250561,Bebidas Calientes,Cafe soluble y otras bebidas,,Café soluble mocha,2020-07-21 16:06:00
250628,Bebidas Calientes,Te e infusiones,,Infusión Manzanilla sabor a miel,2020-07-21 16:06:00
250677,Desayuno y Dulces,Mermelada y miel,,Miel de naranjo,2020-07-21 16:06:00
250683,Desayuno y Dulces,Mermelada y miel,,Confitura de melocotón,2020-07-21 16:06:00
250875,Frescos,Fruta variada,Hacendado,Néctar 5 frutas sin azúcares añadidos,2020-07-21 16:06:00
250938,Lácteos y Huevos,Yogures naturales y sabores,,Yogur sabor macedonia,2020-07-21 16:06:00
251125,Despensa,Aceite vinagre y sal,,Sal gruesa para hornear,2020-07-21 16:06:00
251227,Despensa,Otras salsas,,Salsa barbacoa dulce y picante,2020-07-21 16:06:00
251230,Despensa,Otras salsas,,Salsa chimichurri,2020-07-21 16:06:00
251246,Despensa,Otras salsas,,Salsa de soja sin gluten,2020-07-21 16:06:00
251356,Despensa,Pasta y fideos,,Fideos orientales Yakisoba soja,2020-07-21 16:06:00
251422,Pescadería,Atun y otras conservas de pescado,Hacendado,Sardinillas en aceite de girasol,2020-07-21 16:06:00
251512,Frescos,Conservas de verdura y frutas,Hacendado,Tallos de espárragos,2020-07-21 16:06:00
251572,Despensa,Sopa y caldo,,Caldo de pollo en pastillas,2020-07-21 16:06:00
251575,Despensa,Sopa y caldo,,Caldo de pescado en pastillas,2020-07-21 16:06:00
251596,Despensa,Gazpacho y cremas,,Crema de pollo con verduras,2020-07-21 16:06:00
251658,Aperitivos,Patatas fritas y snacks,,Snack de alga con arroz,2020-07-21 16:06:00
251700,Frescos,Frutos secos y fruta desecada,Hacendado,Pipas girasol barbacoa,2020-07-21 16:06:00
251702,Frescos,Frutos secos y fruta desecada,Hacendado,Semillas lino dorado,2020-07-21 16:06:00
251706,Frescos,Frutos secos y fruta desecada,Hacendado,Anacardo frito con miel,2020-07-21 16:06:00
251800,Platos Preparados,Pizzas,,Pizza atún y bacón,2020-07-21 16:06:00
