store_id,comunidad_autonoma,provincia,city,opening_date,is_active
1,Andalucía,Cádiz,Cádiz,2014-06-20,True
2,Comunidad Valenciana,Alicante,Elche,2017-06-25,True
3,Cataluña,Barcelona,Sabadell,2016-01-14,True
4,Extremadura,Badajoz,Badajoz,2011-12-06,True
5,Castilla y León,Burgos,Miranda de Ebro,2014-09-18,True
6,Castilla y León,Salamanca,Salamanca,2011-12-24,True
7,Comunidad Valenciana,Valencia,Valencia,2020-03-05,True
8,Islas Baleares,Islas Baleares,Ibiza,2017-05-09,True
9,Andalucía,Almería,El Ejido,2014-11-10,True
10,Galicia,Pontevedra,Vigo,2018-03-19,True
11,País Vasco,Guipúzcoa,San Sebastián,2014-10-23,True
12,Andalucía,Cádiz,Algeciras,2020-09-03,True
13,Andalucía,Cádiz,Jerez de la Frontera,2021-10-06,True
14,Castilla y León,Segovia,Segovia,2019-07-24,True
15,Andalucía,Granada,Granada,2017-02-12,True
16,Cataluña,Girona,Girona,2023-12-04,True
17,Andalucía,Huelva,Huelva,2013-05-11,True
18,Canarias,Las Palmas,Las Palmas de Gran Canaria,2012-06-12,True
19,Asturias,Asturias,Oviedo,2011-12-15,True
20,Aragón,Teruel,Teruel,2017-12-08,True
21,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,2018-08-03,True
22,Región de Murcia,Murcia,Cartagena,2012-09-26,True
23,Galicia,Ourense,Ourense,2021-09-30,True
24,Andalucía,Málaga,Málaga,2011-05-08,True
25,Andalucía,Granada,Motril,2012-12-14,True
26,Comunidad Valenciana,Alicante,Torrevieja,2010-02-25,True
27,Andalucía,Sevilla,Sevilla,2012-11-29,True
28,Cataluña,Tarragona,Tarragona,2021-07-14,True
29,Andalucía,Almería,Almería,2017-10-24,True
30,Galicia,Lugo,Lugo,2013-01-26,False
31,Comunidad Foral de Navarra,Navarra,Pamplona,2022-07-03,True
32,Castilla-La Mancha,Albacete,Albacete,2019-08-09,True
33,Cataluña,Barcelona,Badalona,2017-04-11,True
34,País Vasco,Vizcaya,Barakaldo,2023-02-02,True
35,Castilla y León,Soria,Soria,2020-02-02,True
36,Andalucía,Córdoba,Lucena,2016-04-08,True
37,Galicia,Pontevedra,Pontevedra,2013-10-04,True
38,Castilla y León,Palencia,Palencia,2017-07-30,True
39,Castilla y León,Ávila,Ávila,2016-04-09,True
40,Castilla-La Mancha,Toledo,Talavera de la Reina,2017-08-13,True
41,Castilla y León,Valladolid,Valladolid,2019-06-19,False
42,Andalucía,Málaga,Torremolinos,2017-02-12,True
43,Comunidad de Madrid,Madrid,Madrid,2023-10-07,True
44,Comunidad de Madrid,Madrid,Móstoles,2021-04-05,True
45,Castilla-La Mancha,Guadalajara,Guadalajara,2023-10-13,False
46,Castilla y León,León,León,2011-11-11,True
47,Comunidad Valenciana,Castellón,Castellón de la Plana,2019-08-09,False
48,Extremadura,Badajoz,Mérida,2010-07-28,True
49,Cataluña,Barcelona,Terrassa,2010-02-21,True
