ticket_id,line_id,product_id,quantity,unit_price,discount_amount,line_amount
1,1,364401,10,26.8,0.0,268.0
2,1,966163,2,29.27,0.0,58.54
2,2,685539,8,21.23,0.0,169.84
2,3,439374,3,25.61,0.0,76.83
2,4,967704,4,35.74,0.0,142.96
2,5,2401140,7,48.22,81.1,256.44
2,6,877755,8,42.28,49.71,288.53
2,7,2301881,9,20.47,0.0,184.23
2,8,842952,1,12.09,1.87,10.22
2,9,485838,9,47.78,0.0,430.02
2,10,624549,7,15.74,0.0,110.18
2,11,772547,1,12.94,0.0,12.94
2,12,2386865,10,16.3,0.0,163.0
3,1,615871,9,13.82,0.0,124.38
3,2,1043556,2,35.16,0.0,70.32
3,3,850189,4,30.15,0.0,120.6
3,4,790554,3,2.99,0.0,8.97
3,5,2061319,5,4.94,0.0,24.7
3,6,883338,4,25.33,0.0,101.32
3,7,253211,9,7.58,0.0,68.22
3,8,348468,10,6.73,0.0,67.3
3,9,788587,3,21.2,0.0,63.6
4,1,2426492,3,46.81,0.0,140.43
4,2,395741,2,15.57,0.0,31.14
4,3,863934,6,16.35,21.25,76.85
4,4,1035074,10,31.07,38.93,271.77
4,5,681217,9,49.54,0.0,445.86
4,6,685118,7,32.74,0.0,229.18
4,7,883002,3,30.02,0.0,90.06
4,8,255110,10,13.07,0.0,130.7
4,9,381569,6,4.1,0.0,24.6
4,10,661635,5,22.78,0.0,113.9
4,11,973084,5,22.88,0.0,114.4
4,12,987778,4,44.34,0.0,177.36
4,13,1063200,1,26.15,0.0,26.15
5,1,986821,10,49.64,0.0,496.4
5,2,2360959,7,29.74,0.0,208.18
5,3,759895,5,11.58,0.0,57.9
5,4,610471,2,27.37,0.0,54.74
5,5,1063292,4,22.24,21.28,67.68
5,6,300330,7,35.07,49.46,196.03
5,7,542985,4,45.53,0.0,182.12
5,8,520101,1,30.42,0.0,30.42
5,9,881080,9,41.59,0.0,374.31
5,10,516165,5,11.82,0.0,59.1
5,11,419676,5,36.01,0.0,180.05
5,12,775364,7,19.34,0.0,135.38
6,1,373231,4,49.31,0.0,197.24
6,2,484118,4,38.52,0.0,154.08
6,3,737888,8,44.33,24.64,330.0
6,4,2189107,1,49.74,0.0,49.74
6,5,745919,7,34.66,0.0,242.62
7,1,2105250,1,5.71,0.0,5.71
7,2,352553,4,24.14,0.0,96.56
7,3,929098,3,49.27,0.0,147.81
7,4,851251,5,9.06,0.0,45.3
7,5,906038,1,39.77,0.0,39.77
7,6,530267,6,48.63,0.0,291.78
7,7,778758,10,31.02,0.0,310.2
7,8,1838525,1,46.54,0.0,46.54
7,9,1032143,4,18.69,0.0,74.76
7,10,514853,4,41.45,0.0,165.8
7,11,1039830,7,19.11,0.0,133.77
7,12,584168,6,37.0,0.0,222.0
7,13,889271,6,49.22,0.0,295.32
7,14,651384,9,41.39,0.0,372.51
8,1,1026647,7,8.76,0.0,61.32
8,2,2105428,3,47.91,0.0,143.73
8,3,2424628,9,29.35,0.0,264.15
8,4,2195434,7,24.14,0.0,168.98
8,5,627076,4,3.13,1.71,10.81
8,6,1046104,7,43.44,54.84,249.24
8,7,794688,3,19.01,0.0,57.03
8,8,581903,9,49.17,0.0,442.53
8,9,1938041,9,3.88,0.0,34.92
8,10,1039610,6,16.54,0.0,99.24
8,11,1861663,2,43.17,0.0,86.34
8,12,727450,10,44.68,0.0,446.8
8,13,495549,6,2.62,3.62,12.1
8,14,2208620,6,8.51,0.0,51.06
9,1,462813,7,32.15,0.0,225.05
9,2,881891,5,18.82,0.0,94.1
10,1,581072,4,31.16,0.0,124.64
10,2,2285621,8,14.34,0.0,114.72
10,3,270129,10,14.65,0.0,146.5
11,1,467590,7,43.2,0.0,302.4
11,2,363368,2,21.86,0.0,43.72
11,3,677338,1,14.48,2.4,12.08
11,4,2325053,6,28.94,0.0,173.64
11,5,536298,6,33.37,0.0,200.22
11,6,626224,10,25.05,0.0,250.5
11,7,2294715,4,25.68,0.0,102.72
11,8,2398519,6,45.0,0.0,270.0
11,9,2347152,2,6.21,1.05,11.37
11,10,430605,7,49.86,0.0,349.02
11,11,2256697,10,15.8,10.35,147.65
11,12,651083,5,33.96,0.0,169.8
11,13,638773,7,42.38,39.72,256.94
11,14,2402549,10,10.47,0.0,104.7
12,1,2423072,10,30.84,35.76,272.64
12,2,848261,10,27.23,0.0,272.3
12,3,775603,8,27.23,0.0,217.84
12,4,550669,10,3.63,0.0,36.3
12,5,910469,10,11.81,7.4,110.7
12,6,421265,1,45.41,0.0,45.41
13,1,953851,1,21.44,0.0,21.44
14,1,695929,5,14.41,0.0,72.05
14,2,1074425,2,45.39,0.0,90.78
14,3,473636,6,2.3,0.0,13.8
14,4,2149099,1,47.85,0.0,47.85
14,5,883214,1,15.68,0.0,15.68
14,6,968803,8,17.94,17.38,126.14
14,7,283695,2,19.6,0.0,39.2
14,8,2242661,4,21.77,0.0,87.08
14,9,386091,2,35.74,11.05,60.43
14,10,472257,5,14.98,0.0,74.9
