ticket_id,store_id,customer_id,ticket_datetime,channel,payment_method,total_amount
1,34,,2021-05-15 10:08:10,Tienda,Tarjeta débito,268.0
2,93,431,2025-10-02 14:10:49,Tienda,Tarjeta débito,1903.73
3,52,,2021-04-30 23:40:06,Tienda,Tarjeta débito,649.41
4,17,,2023-12-06 08:53:22,Tienda,Tarjeta crédito,1872.4
5,67,,2024-08-14 21:21:29,Tienda,Efectivo,2042.31
6,24,,2021-01-25 14:08:25,Tienda,Tarjeta débito,973.68
7,89,2247,2024-09-27 17:13:25,Tienda,Efectivo,2247.83
8,42,3867,2023-08-02 04:07:02,Tienda,Tarjeta crédito,2128.25
9,44,1252,2024-09-19 22:33:18,Tienda,Tarjeta débito,319.15
10,31,3329,2021-01-19 23:20:39,Tienda,Tarjeta débito,385.86
11,18,3301,2022-11-09 19:17:25,Tienda,Efectivo,2394.76
12,84,,2023-02-14 00:59:24,Tienda,Tarjeta débito,955.19
13,24,2005,2025-01-07 09:20:49,Tienda,Efectivo,21.44
14,89,,2024-12-10 11:13:40,Tienda,Tarjeta débito,760.31
15,36,224,2023-12-13 13:17:21,Tienda,Tarjeta crédito,411.54
16,94,288,2022-06-16 04:23:13,Tienda,Efectivo,306.66
17,42,,2023-12-12 20:09:38,Tienda,Efectivo,1918.16
18,43,,2021-12-26 07:56:53,Tienda,Tarjeta crédito,1453.04
19,52,1915,2021-07-26 19:04:54,Tienda,Efectivo,706.79
20,7,2045,2024-02-03 15:35:03,Tienda,Tarjeta débito,1485.72
21,35,4266,2023-04-17 12:21:45,Tienda,Tarjeta débito,1289.81
22,51,1603,2022-03-15 12:36:50,Tienda,Tarjeta débito,528.35
23,75,580,2021-12-15 09:23:24,Tienda,Tarjeta débito,548.89
24,82,972,2022-09-12 15:14:05,Tienda,Tarjeta débito,1930.06
25,85,,2023-11-02 17:52:19,Tienda,Efectivo,721.1
26,76,,2022-08-30 13:49:50,Tienda,Efectivo,2497.34
27,58,,2021-08-02 06:44:29,Tienda,Tarjeta crédito,1251.69
28,90,2413,2024-08-20 00:40:29,Tienda,Efectivo,978.7
29,70,722,2025-09-26 23:14:22,Tienda,Efectivo,2053.29
30,23,1193,2022-09-02 21:08:01,Tienda,Efectivo,1590.98
31,79,1069,2021-07-14 11:24:44,Tienda,Tarjeta débito,1832.5
32,61,3340,2023-10-13 01:36:57,Tienda,Tarjeta crédito,1163.26
33,44,1621,2025-05-10 06:53:23,Tienda,Efectivo,1119.22
34,80,988,2024-08-12 23:32:34,Tienda,Tarjeta crédito,2033.09
35,39,4332,2025-03-23 18:29:50,Tienda,Efectivo,2422.78
36,61,4544,2024-05-19 23:02:21,Tienda,Tarjeta crédito,82.44
37,42,,2024-05-15 11:54:37,Tienda,Efectivo,838.6
38,81,858,2024-08-28 23:59:26,Tienda,Tarjeta débito,1524.54
39,48,,2025-11-22 19:43:29,Tienda,Tarjeta crédito,716.35
40,96,,2021-05-30 19:51:28,Tienda,Tarjeta crédito,1022.5
41,48,714,2025-07-09 15:58:53,Tienda,Efectivo,2063.44
42,95,1005,2021-10-23 18:36:04,Tienda,Tarjeta crédito,731.7
43,84,3266,2023-06-13 04:47:46,Tienda,Efectivo,1541.12
44,54,3029,2025-05-25 08:09:13,Tienda,Tarjeta débito,724.86
45,93,4194,2025-12-16 19:37:13,Tienda,Tarjeta débito,252.2
46,79,411,2025-03-04 05:47:57,Tienda,Tarjeta débito,2212.64
47,81,4512,2025-05-30 08:11:53,Tienda,Tarjeta crédito,30.96
48,83,,2022-03-22 17:05:42,Tienda,Efectivo,415.08
49,82,842,2022-03-04 16:35:55,Tienda,Tarjeta débito,1439.22
50,25,1374,2021-09-12 14:34:55,Tienda,Tarjeta débito,1160.9
51,1,1472,2023-03-28 03:44:40,Online,Tarjeta crédito,27.18
52,36,3164,2024-08-14 20:09:12,Tienda,Tarjeta débito,1607.73
53,21,3556,2025-06-15 01:18:02,Tienda,Efectivo,607.23
54,28,2304,2025-06-29 22:41:47,Tienda,Tarjeta crédito,1010.99
55,60,2153,2021-09-12 12:06:07,Tienda,Tarjeta crédito,401.65
56,68,2317,2023-05-05 17:06:34,Tienda,Tarjeta débito,284.92
57,3,1866,2021-11-24 08:40:09,Tienda,Tarjeta débito,766.25
58,7,1432,2025-10-07 17:03:31,Tienda,Tarjeta débito,388.24
59,82,,2024-03-06 22:46:00,Tienda,Efectivo,1232.45
60,92,276,2025-07-31 22:33:55,Tienda,Efectivo,1385.42
61,64,1787,2023-09-17 06:53:08,Tienda,Efectivo,382.59
62,55,,2022-01-13 14:31:14,Tienda,Efectivo,407.73
63,82,,2023-02-12 10:26:05,Tienda,Tarjeta crédito,2497.84
64,81,4880,2022-02-22 13:40:23,Tienda,Tarjeta crédito,104.04
65,49,,2024-08-18 08:59:55,Tienda,Efectivo,1305.74
66,96,1123,2025-04-10 13:20:38,Tienda,Tarjeta crédito,1328.26
67,38,3845,2023-07-20 00:10:26,Tienda,Efectivo,1291.89
68,27,1185,2025-07-08 12:58:58,Tienda,Tarjeta débito,1653.28
69,56,,2024-09-28 15:08:38,Tienda,Efectivo,1220.08
70,49,3801,2025-11-01 19:14:35,Tienda,Efectivo,2527.76
71,32,3397,2021-01-23 02:29:16,Tienda,Tarjeta crédito,1361.37
72,44,4456,2021-10-08 16:48:12,Tienda,Tarjeta débito,1980.81
