Id,Codigo,Descripcion,Provincia,Poblacion,CodigoPostal,Direccion,Latitud,Longitud,Pais
349,60600,ALBACETE LOS LLANOS,Albacete,Albacete,2001.0,CALLE FEDERICO GARCIA LORCA. 1,"39,0002979","-1,8487356",España
350,60800,ALMANSA,Albacete,Almansa,2640.0,PLAZA PRIMERO DE MAYO. 1,"38,8677729","-1,1054355",España
352,60901,CAUDETE,Albacete,Caudete,2660.0,CARRETERA CV-656 - ESTACION FERROCARRIL. S/N,"38,7161493","-0,9597129",España
357,61005,HELLIN,Albacete,Hellín,2400.0,PASEO YUTERA DEL CARMEN. S/N,"38,5088565","-1,688572",España
348,60507,LA GINETA,Albacete,Gineta. La,2110.0,CALLE SANTA ANA. S/N,"39,1117194","-2,000316",España
347,60505,LA RODA DE ALBACETE,Albacete,Roda. La,2630.0,PLAZA ESTACION FERRACARRIL. S/N,"39,199397","-2,1628953",España
346,60503,MINAYA,Albacete,Minaya,2620.0,CALLE ESTACION FERROCARRIL. S/N,"39,240726","-2,3484434",España
345,60500,VILLARROBLEDO,Albacete,Villarrobledo,2600.0,CALLE JUAN FERREIRA. S/N,"39,2608516","-2,5985537",España
435,69009,AGRES,Alicante/Alacant,Agres,3837.0,CALLE ESTACION FERROCARRIL. S/N,"38,7968366","-0,5217951",España
437,69011,ALCOI,Alicante/Alacant,Alcoy/Alcoi,3804.0,AVENIDA TIRANT LO BLANC. 8,"38,7094901","-0,4702863",España
436,69010,COCENTAINA,Alicante/Alacant,Cocentaina,3820.0,CARRER PUJADA A SANTA BARBARA. 29,"38,7407086","-0,4470622",España
355,60905,ELDA-PETRER,Alicante/Alacant,Elda,3600.0,CALLE GALICIA. S/N,"38,484919","-0,8010553",España
351,60900,LA ENCINA,Alicante/Alacant,Villena,3408.0,AVENIDA CONSTITUCION. 1,"38,7653779","-0,9542829",España
356,60907,NOVELDA-ASPE,Alicante/Alacant,Novelda,3660.0,CALLE RAFAEL ALTAMIRA. S/N,"38,4071671","-0,7777287",España
354,60904,SAX,Alicante/Alacant,Sax,3630.0,LUIS BARCELO SANTOJA. 25,"38,5447527","-0,8142178",España
353,60902,VILLENA,Alicante/Alacant,Villena,3400.0,RONDA DE LA ESTACION. S/N,"38,631817","-0,867668",España
12,3309,VILLENA ALTA VELOCIDAD,Alicante/Alacant,Villena,3400.0,PARTIDA DE SAN JUAN. 182,"38,5846082","-0,8734737",España
330,56301,FIÑANA,Almería,Fiñana,4500.0,CARRETERA AL-6401 - DISEMINADO CORTIJO FAZ.S/N,"37,1847081","-2,839647",España
332,56308,GADOR,Almería,Gádor,4560.0,CARRETERA AL-3411 - CALLE RETIRO. S/N,"36,9515917","-2,4874696",España
331,56305,GERGAL,Almería,Gérgal,4458.0,CARRETERA AL-3410 - ESTACION FERROCARRIL. S/N,"37,1088805","-2,5915216",España
57,11212,AGURAIN/SALVATIERRA DE ALAVA,Araba/Álava,Salvatierra/Agurain,1200.0,TREBIÑO KALEA. S/N,"42,8464369","-2,3892266",España
56,11210,ALEGRIA-DULANTZI,Araba/Álava,Alegría-Dulantzi,1240.0,CALLE ESTACION FERROCARRIL. S/N,"42,8488289","-2,5145516",España
58,11213,ARAIA,Araba/Álava,Arraia-Maeztu,1208.0,CALLE ESTACION FERROCARRIL. S/N,"42,8694713","-2,3068018",España
52,11203,MANZANOS,Araba/Álava,Ribera Baja/Erribera Beitia,1220.0,RIO ZADORRA KALEA. S/N,"42,7428754","-2,8675305",España
54,11205,NANCLARES-LANGRAIZ,Araba/Álava,Iruña Oka/Iruña de Oca,1230.0,LA ESTACION KALEZ. S/N,"42,8162344","-2,8049335",España
55,11208,VITORIA/GASTEIZ,Araba/Álava,Vitoria-Gasteiz,1005.0,PLAZUELA DE LA ESTACION. 1,"42,8415284","-2,6726651",España
99,15116,LINARES-CONGOSTINAS,Asturias,Lena,33694.0,CAMINO ASPR-92 - ESTACION FERROCARRIL. S/N,"43,101767","-5,772133",España
257,37600,ALJUCEN,Badajoz,Aljucén,6800.0,CALLE ESTACION FERROCARRIL. S/N,"38,9364087","-6,407883",España
265,40004,ALMENDRALEJO,Badajoz,Almendralejo,6200.0,CALLE LAGO DE ALANGE. 1A,"38,6846701","-6,3997768",España
249,37400,ALMORCHON,Badajoz,Cabeza del Buey,6614.0,CARRETERA EX-104 - ESTACION FERROCARRIL. S/N,"38,6966056","-5,2904115",España
260,37606,BADAJOZ,Badajoz,Badajoz,6006.0,AVENIDA CAROLINA CORONADO. S/N,"38,89061","-6,9817556",España
248,37311,CABEZA DEL BUEY,Badajoz,Cabeza del Buey,6600.0,BARRIADA ESTACION. S/N,"38,723812","-5,2270033",España
264,40002,CALAMONTE,Badajoz,Calamonte,6810.0,AVENIDA DE ESPRONCEDA. S/N,"38,8874922","-6,3826881",España
251,37404,CAMPANARIO,Badajoz,Campanario,6460.0,CARRETERA EX-115 - ESTACION FERROCARRIL. S/N,"38,8534031","-5,6414458",España
250,37402,CASTUERA,Badajoz,Castuera,6420.0,CALLE ALEMANIA. 10,"38,7349783","-5,5417826",España
