Song_Index,Song,Artist,Track_No_,AlbumID_Rank,BPM,Energy,Dance,Loud,Valence,Duration,Acoustic,Popularity,Spotify_Song
2000,Aenima,Tool,1,18,0,0,0,0,0,,0,0,
2003,The While Album,Diamond Head,1,42,0,0,0,0,0,,0,0,
2001,Hail to England,Manowar,1,87,0,0,0,0,0,,0,0,
2002,Torture Garden,Naked City,1,91,0,0,0,0,0,,0,0,
524,Capsized,Kyuss,11,41,123,28,66,-20,4,00:56,66,29,4NrOXecpvKxTkN4nbPQ6my
527,Yeah,Kyuss,14,41,0,0,0,-30,0,00:04,79,0,0s6BnZCanXlkFA3xb9WRT1
1031,The Winds Of Mayhem (outro),Bathory,10,81,62,4,11,-35,0,00:23,94,0,5HVAOimlVzw7zGwkUKa1vL
1003,Acrid Placidity,Meshuggah,6,79,100,15,40,-20,4,03:16,17,0,1AikJLUJAoyeoeLrUGU9Lo
1128,Now Sports,Body Count,3,90,0,29,0,-26,0,00:05,92,0,4Kr4yfjeBXpCndPwg3E20f
1130,A Statistic,Body Count,5,90,0,41,0,-20,0,00:06,92,0,1hzMQFF0qKPaLg2TQ1H3dC
1134,C Note,Body Count,9,90,117,12,18,-20,21,01:36,85,27,1aed1F9qd01nQwANed7LzY
1138,Oprah,Body Count,13,90,0,18,0,-28,0,00:07,22,0,1r8vIPSSI5Ys1VHXrCFcMX
1162,Knuckle Duster - Radio 1-A,White Zombie,2,93,137,30,52,-27,32,00:24,91,1,2VYTfHAnu4QYn9VkwlXoh3
1169,Knuckle Duster - Radio 2-B,White Zombie,9,93,110,8,63,-30,96,00:25,98,0,48UTETcEXWbjHsBimngZPr
1171,One Big Crunch,White Zombie,11,93,83,48,49,-28,4,00:22,99,0,0jVNv7MUMbdgNT1RluW3RB
3,Planet Caravan - 2013 Remaster,Black Sabbath,3,1,90,6,37,-29,34,04:29,94,52,2VDg6h3Qr3F8UuFVInQxE6
218,FX - 2014 Remaster,Black Sabbath,4,14,158,9,55,-28,9,01:39,99,32,3tZEhhWeo5y5fNZG4ucTPe
420,Don't Start (Too Late) - 2013 Remaster,Black Sabbath,2,32,137,4,37,-34,38,00:49,91,30,57AKaqMXi2wwU2omItTYWi
446,Orchid - 2014 Remaster,Black Sabbath,5,34,101,5,49,-29,63,01:31,75,41,7f5pVscGqWGPmzyAJ3thAI
448,Solitude - 2014 Remaster,Black Sabbath,7,34,111,2,34,-29,54,05:02,83,45,0wjptUxT1jhKZ3Xm4lX8OF
674,Monday,Life Of Agony,3,58,85,17,28,-32,9,01:31,89,20,7MaY0LeEBgl36I9W7NlM4R
678,Thursday,Life Of Agony,7,58,116,24,58,-29,20,02:13,93,18,3Bts5MFHG5QQaOJMJOJqSv
684,Friday,Life Of Agony,13,58,80,44,26,-30,5,03:35,68,15,2L9PaGL1kIabdIt7irch2g
1092,Intro,Pig Destroyer,1,88,120,19,48,-27,48,00:41,53,16,0wcJSmPe2fNY0Kb9Bcx79f
1022,Nocturnal Obeisance,Bathory,1,81,125,34,17,-22,3,01:27,39,0,3xwn6rvhdI1iTFeaieLsMM
591,Become the Ocean,Neurosis,7,49,77,50,18,-22,19,01:27,4,18,1BpIsdibg1tudFkLDPerzQ
1132,The Real Problem,Body Count,7,90,0,22,0,-22,0,00:12,67,0,60t356zDXP421A3kENM4mr
982,Into the Dead Sky,At The Gates,5,77,128,30,50,-22,27,02:13,76,26,2mperrZFTlXtaLAngA3xZv
967,Nar Mattaru,Morbid Angel,9,75,119,39,34,-22,8,02:07,52,13,5hVwGj7blf91sFRKT8GgQt
797,I Remember Now - Remastered 2003,Queensrÿche,1,67,89,28,54,-22,6,01:17,74,31,5b85fn016yCsXMCMKuL87C
522,800,Kyuss,9,41,177,60,42,-19,52,01:34,16,30,2VIsT3MooNAxWpOLgvQLpL
940,Mayhem with Mercy,Venom,4,74,81,42,33,-19,7,00:59,78,24,6Ugq3gbUSE1Ot7B8broguU
718,Ligature,Melvins,3,60,119,18,49,-19,28,03:49,2,25,6qvbeaKX7oEqpXZgcFa7dF
766,Locust Furnace,Godflesh,10,64,139,51,42,-19,13,04:43,0,13,2qnoLugddBszuRbyOzQLCK
107,Dee - Remastered,Ozzy Osbourne,4,9,138,7,57,-19,68,00:50,85,37,1198Lmq0eiMzpJ4ZKzMojn
628,3.O.I.F.,Type O Negative,11,53,82,61,12,-19,3,02:06,33,21,2YURBB7UISqxi1UpnwNOAX
923,(Untitled),ISIS,5,72,167,86,15,-18,3,02:06,93,8,1B6Zg7KrHL9QwpFbHpbcXl
516,Molten Universe,Kyuss,3,41,168,48,26,-18,13,02:50,3,35,66i8MjAq8kyUobMzo8zYNc
648,Patterns in the Ivy,Opeth,7,55,132,26,63,-18,46,01:50,94,33,0efi9kXISVqzXTVvvjP6VR
719,It's Shoved,Melvins,4,60,130,38,64,-18,96,02:36,0,27,0eWtU3lhxXeTHF9vP1wLZj
586,Rehumanize,Neurosis,2,49,79,52,39,-18,14,01:46,65,22,5BBfllI8hk4r2GK7bWtCzl
521,Freedom Run,Kyuss,8,41,170,55,25,-17,51,07:37,8,33,2lFY4hpaQxPG2HjHzSAUXc
525,Allen's Wrench,Kyuss,12,41,102,66,44,-17,61,02:44,1,31,5Ifvup5EBJ76HrDwQ1645K
716,Boris,Melvins,1,60,127,26,50,-17,14,08:35,27,32,7up6lmFT6F3k9ld2hsXeht
