Genre,ArtistName,TrackName,Popularity,Duration
Dance,Ariana Grande,7 rings,100,178
Pop,Ariana Grande,"break up with your girlfriend, i'm bored",99,190
Rap,Post Malone,Wow.,99,149
Hip-Hop,Daddy Yankee,Con Calma,98,193
Pop,Ava Max,Sweet but Psycho,97,187
Rap,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,97,158
Pop,Pedro Capó,Calma - Remix,97,238
Indie,Halsey,Without Me,97,201
Pop,Marshmello,Happier,97,214
Pop,Sam Smith,Dancing With A Stranger (with Normani),97,171
Rap,J. Cole,MIDDLE CHILD,96,213
Reggaeton,Anuel Aa,Secreto,96,258
Pop,Lady Gaga,Shallow,96,215
Pop,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",96,212
Reggaeton,Ozuna,Baila Baila Baila,95,158
Pop,Ariana Grande,"thank u, next",95,207
Hip-Hop,Meek Mill,Going Bad (feat. Drake),95,180
Pop,Panic! At The Disco,High Hopes,95,190
Hip-Hop,Paulo Londra,Adan y Eva,95,258
Reggaeton,Bad Bunny,MIA (feat. Drake),95,210
Pop,Calvin Harris,Giant (with Rag'n'Bone Man),94,229
Pop,Khalid,Talk,94,197
Pop,Jonas Brothers,Sucker,94,181
Pop,Lauv,i'm so tired...,94,162
Pop,Travis Scott,SICKO MODE,94,312
Hip-Hop,21 Savage,a lot,93,288
Rap,Blueface,Thotiana,93,129
Rap,Kodak Black,ZEZE (feat. Travis Scott & Offset),93,228
Rap,Post Malone,Better Now,93,231
Pop,Mau y Ricky,Desconocidos,93,204
Reggaeton,Anuel Aa,Amanece,92,190
Pop,The Chainsmokers,Who Do You Love (with 5 Seconds of Summer),92,226
Rap,XXXTENTACION,SAD!,92,166
Rap,Juice WRLD,Lucid Dreams,92,239
Pop,Alec Benjamin,Let Me Down Slowly,92,169
Pop,Ariana Grande,needy,92,171
Dance,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),92,182
Rap,Lil Baby,Drip Too Hard (Lil Baby & Gunna),92,145
Rap,Sheck Wes,Mo Bamba,92,183
Pop,Dean Lewis,Be Alright,92,196
Pop,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),92,217
Pop,Ariana Grande,NASA,91,182
Rap,A Boogie Wit da Hoodie,Look Back At It,91,179
Rap,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),91,189
Rap,Juice WRLD,Robbery,91,240
Pop,Calvin Harris,Promises (with Sam Smith),91,213
Rap,Post Malone,rockstar (feat. 21 Savage),91,218
Pop,Piso 21,Te Vi,91,231
Hip-Hop,Mustard,Pure Water (with Migos),91,194
Hip-Hop,XXXTENTACION,Moonlight,91,135
Pop,Lewis Capaldi,Someone You Loved,91,182
Reggaeton,Daddy Yankee,Adictiva,91,207
Rap,Cardi B,Please Me,91,200
Dance,Ariana Grande,bad idea,91,267
Pop,benny blanco,Eastside (with Halsey & Khalid),91,173
R&B,Mabel,Don't Call Me Up,91,178
Pop,Ariana Grande,bloodline,91,216
Pop,Ariana Grande,fake smile,90,208
Pop,Lady Gaga,Shallow - Radio Edit,90,217
Reggaeton,Bad Bunny,NI BIEN NI MAL,90,236
Rap,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),90,198
Hip-Hop,Flipp Dinero,Leave Me Alone,90,195
Hip-Hop,XXXTENTACION,Jocelyn Flores,90,119
Dance,Ariana Grande,no tears left to cry,90,205
Pop,Cardi B,I Like It,90,253
Rap,Tyga,Taste (feat. Offset),90,232
Pop,Sebastian Yatra,Un Año,90,164
Pop,Ariana Grande,imagine,90,212
Rock,Imagine Dragons,Bad Liar,90,260
Hip-Hop,Gucci Mane,Wake Up in the Sky,89,204
Pop,Becky G,Bubalu,89,228
Rap,Juice WRLD,Armed And Dangerous,89,169
Pop,J Balvin,Reggaeton,89,158
Pop,Maroon 5,Girls Like You (feat. Cardi B),89,235
Dance,Bazzi,Beautiful (feat. Camila Cabello),89,180
Rap,Cardi B,Money,89,183
Hip-Hop,Drake,God's Plan,89,198
Pop,Post Malone,Psycho (feat. Ty Dolla $ign),89,221
Pop,Billie Eilish,idontwannabeyouanymore,89,203
Pop,Calvin Harris,One Kiss (with Dua Lipa),89,214
Rock,Imagine Dragons,Believer,89,204
Rock,Imagine Dragons,Natural,89,189
Pop,Ed Sheeran,Perfect,89,263
Pop,Zedd,The Middle,88,184
Hip-Hop,French Montana,No Stylist,88,192
Dance,The Chainsmokers,This Feeling,88,197
Pop,Kygo,Happy Now,88,211
Pop,Lauv,I Like Me Better,88,197
Pop,Zedd,365,88,181
Pop,Lady Gaga,Always Remember Us This Way,88,210
Dance,Zara Larsson,Ruin My Life,88,190
Rap,6ix9ine,BEBE (feat. Anuel Aa),88,217
Pop,Marshmello,FRIENDS,88,202
Pop,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",88,158
Reggaeton,Ozuna,Vaina Loca,88,176
Dance,The Chainsmokers,Hope,88,180
Pop,Ariana Grande,in my head,88,222
Pop,Khalid,Better,88,229
Pop,Robin Schulz,Speechless (feat. Erika Sirola),88,214
Rap,XXXTENTACION,changes,88,121
Rap,Rich The Kid,Splashin,88,177
Pop,Luis Fonsi,Imposible,88,163
R&B,Camila Cabello,Havana,88,217
Rap,Drake,In My Feelings,88,217
Rap,6ix9ine,KIKA (feat. Tory Lanez),88,136
Rap,Post Malone,I Fall Apart,88,223
Reggaeton,Karol G,Créeme,88,212
Rock,Imagine Dragons,Thunder,88,187
Rap,XXXTENTACION,Fuck Love (feat. Trippie Redd),87,146
Rap,Lil Peep,Falling Down - Bonus Track,87,196
Rap,BlocBoy JB,Look Alive (feat. Drake),87,181
Pop,Becky G,Cuando Te Besé,87,254
Dance,Clean Bandit,Solo (feat. Demi Lovato),87,222
Pop,George Ezra,Shotgun,87,201
Indie,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),87,239
Pop,Ariana Grande,breathin,87,198
Rap,Post Malone,Congratulations,87,220
Rap,6ix9ine,MALA (feat. Anuel Aa),87,206
Pop,Sebastian Yatra,Ya No Tiene Novio,87,198
Pop,Silk City,Electricity (with Dua Lipa),87,238
Rap,Lil Mosey,Noticed,87,165
Pop,Rita Ora,Let You Love Me,87,190
Pop,Billie Eilish,bellyache,87,179
Reggaeton,Karol G,Culpables,87,226
Pop,Travis Scott,YOSEMITE,87,150
Dance,Ariana Grande,God is a woman,87,197
Pop,Khalid,Saturday Nights,87,209
Pop,Shawn Mendes,In My Blood,87,211
Pop,Metro Boomin,Space Cadet (feat. Gunna),87,203
Pop,Billie Eilish,wish you were gay,87,221
Pop,Dua Lipa,Kiss and Make Up,87,189
Pop,5 Seconds of Summer,Youngblood,87,203
Pop,Logic,Keanu Reeves,87,225
Pop,Ed Sheeran,Shape of You,87,233
Reggaeton,Brytiago,Asesina - Remix,87,327
Dance,Dua Lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",87,182
Reggaeton,Nio Garcia,Te Boté - Remix,87,417
Pop,Dua Lipa,IDGAF,87,217
Pop,Ariana Grande,make up,87,140
Rap,Kanye West,I Love It (& Lil Pump),87,127
Pop,Billie Eilish,ocean eyes,86,200
Pop,Anne-Marie,2002,86,186
Pop,Ed Sheeran,Happier,86,207
Rap,Amenazzy,Baby,86,235
Hip-Hop,Eminem,Lucky You (feat. Joyner Lucas),86,244
Pop,Sam Smith,"Fire On Fire - From ""Watership Down""",86,246
Pop,Dua Lipa,New Rules,86,209
Dance,NOTD,So Close,86,190
R&B,Chris Brown,Undecided,86,187
Pop,Bebe Rexha,Last Hurrah,86,150
