Countries,TrackName,ArtistName,AlbumName,Popularity,Date,Duration
"AUS, CAN, DEU, GBR, USA","""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,3:00
GBR,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana,44,2023-09-29,3:51
FRA,1 2 3 4,Zokush,SÛR ET CERTAIN,64,2023-06-22,3:00
DEU,14 PASSENGER,reezy,NUR DAMIT DU WEISST,79,2023-10-20,2:26
DEU,2 Germans (feat. Gzuz),Luciano,2 Germans (feat. Gzuz),77,2023-10-26,2:29
DEU,2003,Liaze,2003,76,2023-10-20,2:16
ITA,2minuti,Calcutta ,RELAX,76,2023-10-20,3:34
"CAN, USA",500lbs,Lil Tecca,TEC,83,2023-09-22,2:24
DEU,9 bis 9,SIRA,9 bis 9,82,2023-05-05,2:11
ESP,A 300,JC Reyes,A 300,78,2023-02-17,2:49
ITA,ABC (feat. Bello Figo),Slings,TRAPHOUSE,62,2023-10-20,2:23
ARG,ADIÓS,Maria Becerra,LA NENA DE ARGENTINA,82,2022-12-08,2:40
ECU,AMARGURA,KAROL G,MAÑANA SERÁ BONITO,90,2023-02-24,2:50
ARG,ANDO,Jere Klein,ANDO,87,2023-09-27,2:52
ITA,ANELLI E COLLANE (feat. ANNA),Artie 5ive,ASPETTANDO LA BELLA VITA,77,2023-07-20,3:09
DEU,ANGST>LIEBE,Ellice,ANGST>LIEBE,75,2023-10-13,2:59
ITA,ANTHEM,Salmo,CVLT,71,2023-11-03,2:18
ARG,ASI ES LA VIDA,Enrique Iglesias,ASI ES LA VIDA,83,2023-09-28,2:52
ARG,ATORRANTE - con Los Palmeras,Emanero,ATORRANTE - con Los Palmeras,78,2023-07-08,4:12
"AUS, CAN, GBR, USA",Agora Hills,Doja Cat,Scarlet,82,2023-09-20,4:25
BRA,Agudo Mágico 4,MC K.K,Agudo Mágico 4,79,2023-08-25,3:10
ARG,Ahi Ahi,El negro tecla,Ahi Ahi,77,2021-12-08,2:56
FRA,Ailleurs,Josman,J.000.$,67,2023-10-28,2:45
DEU,Airplanes,badmómzjay,Airplanes,76,2023-09-07,2:26
"CAN, GBR, USA",All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,4:01
FRA,All for U (Ameyatchi),King Serenity,All for U (Ameyatchi),73,2023-06-14,2:45
ITA,Alta marea,Coez,Lovebars,67,2023-09-08,2:51
ITA,Ancora,Rhove,Ancora,75,2023-06-21,2:51
"DEU, FRA, GBR",Another Love,Tom Odell,Long Way Down (Deluxe),92,2013-06-24,4:04
"AUS, CAN, GBR",Anti-Hero,Taylor Swift,Midnights,93,2022-10-21,3:20
ESP,Antidepresivos,Saiko,Antidepresivos,78,2023-08-03,2:25
ESP,Arena y Sal,Omar Montes,Arena y Sal,79,2023-05-18,2:54
FRA,Arranca (feat. Omega),Becky G,Arranca (feat. Omega),81,2023-03-10,2:46
"AUS, GBR",As It Was,Harry Styles,Harry's House,95,2022-05-20,2:47
GBR,Asking,Sonny Fodera,Asking,80,2023-07-07,3:11
FRA,Avec Toi,OBOY,OMEGA,73,2019-07-12,3:13
ESP,BABY HELLO,Rauw Alejandro,PLAYA SATURNO,79,2023-07-07,3:42
ECU,BABY NUEVA,Bad Bunny,nadie sabe lo que va a pasar mañana,90,2023-10-13,4:00
FRA,BALLE DANS LE COEUR,Ikaz Boi,BRUT4L,70,2023-09-29,2:40
MEX,BIPOLAR,Peso Pluma,BIPOLAR,87,2023-09-07,4:25
ITA,"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)",Drillionaire,10,61,2023-06-28,3:58
ITA,BRUJERIA,Salmo,CVLT,69,2023-11-03,3:12
ITA,Baby Mama,Don Pero,Baby Mama,75,2022-10-27,2:31
ARG,Bad Boy,Sayian Jimmy,Bad Boy,78,2023-07-07,2:41
GBR,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",83,2023-07-27,2:57
BRA,Baile do Bruxo,Tropa do Bruxo,Baile do Bruxo,86,2023-09-29,3:41
BRA,Ballena,Vulgo FK,Perdas & Ganhos,83,2023-07-14,3:20
ESP,Bandidona,Saiko,Bandidona,74,2023-10-26,2:40
AUS,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],90,2023-06-23,1:49
BRA,Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,"Escolhas, Vol. 2 (Ao Vivo)",87,2023-06-22,2:13
USA,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),89,2023-10-26,3:51
DEU,Blonde Chaya - Sped up,Amaru,Blonde Chaya (Sped up),80,2023-09-08,3:01
FRA,Bolide allemand,SDM,Liens du 100,80,2022-12-02,2:56
FRA,Boyz In Paris (with VINAI),Marnik,Boyz In Paris (with VINAI),83,2023-07-28,2:31
ESP,Buenas,Quevedo,Buenas,86,2023-09-22,3:12
MEX,CCC - Remix,Michelle Maciel,CCC (Remix),85,2023-08-31,2:27
ECU,CHORRITO PA LAS ANIMAS,Feid,SIXDO,85,2022-12-02,2:48
ITA,"CLAP CLAP (feat. Artie 5ive, Niky Savage)",Sadturs,NO REGULAR MUSIC,67,2023-10-27,2:13
ITA,COME VUOI,Geolier,IL CORAGGIO DEI BAMBINI,78,2023-01-06,2:52
ARG,CORAZÓN VACÍO,Maria Becerra,CORAZÓN VACÍO,86,2023-06-22,2:40
ESP,COSAS QUE NO TE DIJE,Saiko,COSAS QUE NO TE DIJE,81,2021-09-17,3:44
ITA,CRINGE,Salmo,CVLT,70,2023-11-03,3:12
ITA,CROCI € CRISTI,Salmo,CVLT,68,2023-11-03,2:34
ITA,CVLT (feat. Kid Yugi),Salmo,CVLT,71,2023-11-03,3:46
ITA,Cadillac (feat. Artie 5ive),Boro,Cadillac (feat. Artie 5ive),81,2023-09-21,2:35
"AUS, CAN",Calm Down (with Selena Gomez),Rema,Rave & Roses Ultra,81,2023-04-27,3:59
BRA,Canudinho - Ao Vivo,Gusttavo Lima,Canudinho (Ao Vivo),88,2023-08-30,2:04
"CAN, GBR, USA",Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),80,2023-11-03,3:25
ECU,Caraluna,Bacilos,Caraluna,84,2002-06-25,4:26
FRA,Casanova,Soolking,Casanova,86,2023-07-06,3:09
FRA,Celui qui part,Joseph Kamel,Miroirs,45,2023-10-27,2:36
MEX,Ch y la Pizza,Fuerza Regida,Pa Que Hablen,83,2022-12-30,2:16
ITA,Che t'o dico a fa',Angelina Mango,Che t'o dico a fa',78,2023-10-06,3:07
AUS,Chemical,Post Malone,Chemical,88,2023-04-14,3:04
FRA,Chemin d'or,Werenoi,Carré,75,2023-03-10,3:32
"ARG, ECU",Chulo pt.2,Bad Gyal,Chulo pt.2,90,2023-06-22,3:39
MEX,Chupón,El Gudi,Chupón,83,2023-08-25,3:21
ITA,Ci pensiamo domani,Angelina Mango,Ci pensiamo domani,76,2023-05-12,3:00
"ARG, ECU, ESP, MEX",Classy 101,Feid,Classy 101,93,2023-03-31,3:15
DEU,Cold Princess,Luciano,Cold Princess,76,2023-10-12,2:33
"ARG, ECU, ESP",Columbia,Quevedo,Columbia,95,2023-07-07,3:06
ESP,Corazón Roto pt. 3,Brray,Corazón Roto pt. 3,86,2023-09-08,5:48
"AUS, CAN, DEU, GBR, USA",Cruel Summer,Taylor Swift,Lover,99,2019-08-23,2:58
DEU,Cynical,twocolors,Cynical,82,2023-06-30,3:11
BRA,DENTRO DA HILUX,Luan Pereira,DENTRO DA HILUX,87,2023-08-24,2:42
FRA,DIE,Gazo,KMT,75,2022-07-01,4:00
ESP,DILUVIO,Rauw Alejandro,PLAYA SATURNO,85,2023-07-07,3:17
ARG,DIME SI ERES FELIZ VOL.2,BM,DIME SI ERES FELIZ VOL.2,79,2023-08-30,2:38
ITA,DIMMI CHE NON È UN ADDIO,Holden,DIMMI CHE NON È UN ADDIO,55,2023-11-07,2:57
ARG,DISCOTEKA (feat. Locura Mix),The La Planta,DISCOTEKA (feat. Locura Mix),78,2023-02-16,3:24
ARG,DISPARA ***,Nicki Nicole,ALMA,81,2023-05-18,2:23
GBR,DNA (Loving You) [feat. Hannah Boleyn],Billy Gillies,DNA (Loving You) [feat. Hannah Boleyn],76,2023-07-28,2:44
"ECU, ESP",DONDE SE APRENDE A QUERER?,Mora,ESTRELLA,86,2023-08-28,2:24
ARG,Dale Mecha,Mesita,Dale Mecha,77,2023-05-02,2:30
DEU,"Dance For Me (1, 2, 3) - Stutter Techno",Sonny Wern,"Dance For Me (1, 2, 3) [Stutter Techno]",67,2023-10-06,2:27
"AUS, CAN, FRA, GBR",Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,2023-05-25,2:56
BRA,Daqui pra Sempre,Manu,Daqui pra Sempre,85,2023-09-22,3:22
USA,Dark Red,Steve Lacy,Dark Red,90,2017-02-20,2:53
"AUS, CAN, DEU, FRA, GBR",Daylight,David Kushner,Daylight,95,2023-04-14,3:32
FRA,Demain,PLK,2069',74,2023-04-13,3:03
FRA,Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),87,2023-07-28,2:59
BRA,Devia Ser Proibido - Ao Vivo Em Brasília,Henrique & Juliano,To Be (Ao Vivo Em Brasília),83,2023-07-28,2:53
GBR,Disconnect,Becky Hill,Disconnect,80,2023-07-14,2:44
BRA,Dois Fugitivos - Ao Vivo,Simone Mendes,Cintilante (Ao Vivo / Vol.2),71,2023-10-20,2:53
AUS,Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),89,1977-02-04,4:17
BRA,Duas Três,Guilherme & Benuto,Duas Três,85,2023-02-09,2:36
ECU,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Ubuntu,84,2018-05-11,3:40
MEX,EL AMOR DE SU VIDA,Grupo Frontera,El Comienzo,90,2023-08-25,2:45
ESP,EL TONTO,Lola Indigo,EL DRAGÓN,77,2023-04-13,3:08
MEX,ELOVRGA,Alex Favela,ELOVRGA,91,2023-08-18,3:14
ITA,"EVERYDAY (feat. Shiva, ANNA, Geolier)",Takagi & Ketra,"EVERYDAY (feat. Shiva, ANNA, Geolier)",84,2023-10-13,3:10
DEU,EWIGKEIT - REMIX,erobé,EWIGKEIT (REMIX),79,2023-06-23,2:17
MEX,EXCESOS,Fuerza Regida,Pa las Baby's Y Belikeada,83,2023-10-20,3:07
ARG,El Amor De Mi Vida,Los Ángeles Azules,El Amor De Mi Vida,59,2023-08-18,3:04
MEX,El Azul,Junior H,El Azul,89,2023-02-10,3:07
"ECU, ESP",El Cielo,Sky Rompiendo,El Cielo,88,2023-06-02,3:11
ESP,El Mambo,Kiko Rivera,El Mambo,83,2023-07-13,2:09
ESP,El Merengue,Marshmello,Sugar Papi,60,2023-11-02,3:09
"MEX, USA",Ella Baila Sola,Eslabon Armado,DESVELADO,86,2023-04-28,2:45
FRA,Emorio,Trinix,Emorio,76,2023-04-28,2:43
ARG,En La Intimidad | CROSSOVER #1,Big One,En La Intimidad | CROSSOVER #1,80,2023-02-01,2:52
DEU,Enchanté,Sosa La M,Enchanté,78,2023-09-15,1:36
